sample.id,assay.name,value,paper.name
BK01182BL02-3,Vectra,0,INOS+CD80+ Macrophages
BK02580TS03,Vectra,0,INOS+CD80+ Macrophages
BK02570TS14,Vectra,0,INOS+CD80+ Macrophages
BK00309BL01-14,Vectra,1.5,INOS+CD80+ Macrophages
BK02648BL01-14,Vectra,0,INOS+CD80+ Macrophages
BK00385TS14,Vectra,0,INOS+CD80+ Macrophages
BK00068BL01-14,Vectra,0,INOS+CD80+ Macrophages
BK00430TS14,Vectra,0,INOS+CD80+ Macrophages
K00968BL01_SL03,Vectra,0,INOS+CD80+ Macrophages
BK13861BL01_SL03,Vectra,0,INOS+CD80+ Macrophages
BK00363BL02-3,Vectra,0,INOS+CD80+ Macrophages
BK00364TS14,Vectra,0,INOS+CD80+ Macrophages
K02123FP01-14,Vectra,1,INOS+CD80+ Macrophages
BK00254BL01-14,Vectra,18,INOS+CD80+ Macrophages
K00047FP01-14,Vectra,1,INOS+CD80+ Macrophages
BK02598BL02-3,Vectra,0,INOS+CD80+ Macrophages
BK02625BL01-14,Vectra,0,INOS+CD80+ Macrophages
BK00452BL01-13,Vectra,0,INOS+CD80+ Macrophages
BK01178BL02-3,Vectra,0,INOS+CD80+ Macrophages
PICI0002_A00_K02147FP01_SSL_A05,Vectra,2.5,INOS+CD80+ Macrophages
BK13862BL01_SL04,Vectra,0,INOS+CD80+ Macrophages
BK01180BL01-13,Vectra,1,INOS+CD80+ Macrophages
BK00276SL03,Vectra,0,INOS+CD80+ Macrophages
BK00463BL01-14,Vectra,0,INOS+CD80+ Macrophages
BK01199BL01_SL03,Vectra,0,INOS+CD80+ Macrophages
K02145FP01-14,Vectra,0,INOS+CD80+ Macrophages
BK02608BL01-14,Vectra,0,INOS+CD80+ Macrophages
BK02623BL02-3,Vectra,0,INOS+CD80+ Macrophages
BK00155TS07,Vectra,0,INOS+CD80+ Macrophages
K00879FP01_4_SL03,Vectra,1,INOS+CD80+ Macrophages
BK01232SL03,Vectra,0,INOS+CD80+ Macrophages
11217-051_1_1-14,Vectra,0,INOS+CD80+ Macrophages
BK00507BL01-14,Vectra,0,INOS+CD80+ Macrophages
BK00341BL01-13,Vectra,21.5,INOS+CD80+ Macrophages
11217-052_1_1-13,Vectra,0,INOS+CD80+ Macrophages
BK01190SL03,Vectra,2,INOS+CD80+ Macrophages
BK00342BL01-14,Vectra,0,INOS+CD80+ Macrophages
BK13860BL01_SL03,Vectra,0,INOS+CD80+ Macrophages
BK02569BL01-14,Vectra,0,INOS+CD80+ Macrophages
BK02630BL02-3,Vectra,2,INOS+CD80+ Macrophages
BK00540BL01-14,Vectra,0.5,INOS+CD80+ Macrophages
A135BS727-001,Vectra,1,INOS+CD80+ Macrophages
SP19 7131 A1-14,Vectra,0,INOS+CD80+ Macrophages
BK02615BL01-14,Vectra,1.5,INOS+CD80+ Macrophages
A222BO507-001,Vectra,0,INOS+CD80+ Macrophages
BK00067BL01_SL03,Vectra,0,INOS+CD80+ Macrophages
BK00473BL02-14,Vectra,0,INOS+CD80+ Macrophages
BK02618BL01-14,Vectra,0,INOS+CD80+ Macrophages
