sample.id,median.value,paper.name
BK02563TS14,0.875,Ki-67- Tregs (% of Tregs)
BK02570TS13,1,Ki-67- Tregs (% of Tregs)
BK02571TS12,1,Ki-67- Tregs (% of Tregs)
BK12448SL13,1,Ki-67- Tregs (% of Tregs)
BK02564TS12,0.88557693,Ki-67- Tregs (% of Tregs)
BK12444SL12,1,Ki-67- Tregs (% of Tregs)
BK00451BL02_SL18,0.95833335,Ki-67- Tregs (% of Tregs)
BK00452BL01-14,0.7817460350000001,Ki-67- Tregs (% of Tregs)
BK00419BL01-13,0.715615635,Ki-67- Tregs (% of Tregs)
BK02567SL02,0.34210527,Ki-67- Tregs (% of Tregs)
BK02589BL01-13,0.4358787,Ki-67- Tregs (% of Tregs)
BK01180BL01-12,0.66666667,Ki-67- Tregs (% of Tregs)
BK02566BL02-13,1,Ki-67- Tregs (% of Tregs)
BK01179SL02,0.5,Ki-67- Tregs (% of Tregs)
K01119FP01-13,0.6741573,Ki-67- Tregs (% of Tregs)
PICI0002_A00_K02111FP01_SSL_A05,0.875022875,Ki-67- Tregs (% of Tregs)
BK00155TS06,0.81666665,Ki-67- Tregs (% of Tregs)
BK00385TS13,0.6666667,Ki-67- Tregs (% of Tregs)
BK00430TS13,0.8484849,Ki-67- Tregs (% of Tregs)
BK00441TS03,0.864367825,Ki-67- Tregs (% of Tregs)
BK00364TS13,0.5,Ki-67- Tregs (% of Tregs)
BK01182BL02-2,0.5,Ki-67- Tregs (% of Tregs)
BK00550BL01-13,1,Ki-67- Tregs (% of Tregs)
PICI0002_A00_K02147FP01_SSL_A04,0.703296715,Ki-67- Tregs (% of Tregs)
BK01184BL01-13,1,Ki-67- Tregs (% of Tregs)
BK01194TS11,0.9289216,Ki-67- Tregs (% of Tregs)
BK00078BL01-13,0.9161184,Ki-67- Tregs (% of Tregs)
BK02625BL01-13,0.9827585999999999,Ki-67- Tregs (% of Tregs)
BK00341BL01-12,0.5,Ki-67- Tregs (% of Tregs)
A263BQ483-001,0.6527778,Ki-67- Tregs (% of Tregs)
BK02630BL02-2,1,Ki-67- Tregs (% of Tregs)
A135BS721-001,0.9375,Ki-67- Tregs (% of Tregs)
K02145FP01-13,0.84444445,Ki-67- Tregs (% of Tregs)
BK02594BL01-13,0.96428573,Ki-67- Tregs (% of Tregs)
BK01178BL02-2,0.9285714350000001,Ki-67- Tregs (% of Tregs)
BK13862BL01_SL02,1,Ki-67- Tregs (% of Tregs)
BK00276SL02,0.83333335,Ki-67- Tregs (% of Tregs)
BK01199BL01_SL02,0.875,Ki-67- Tregs (% of Tregs)
BK01232SL02,1,Ki-67- Tregs (% of Tregs)
