sample.id,value,epitope.id,paper.name
PICI0002_A01_K01432KE01_SPB_A01,0.792878219,TCF7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01409KE01_SPB_A02,0.461945294,PDCD1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00176EB02,0.797422715,CTLA4,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01409KE01_SPB_A02,0.466792462,HAVR2,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00176EB02,0.80893668,TCF7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK01832EB01,0.387807552,TBX21,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01409KE01_SPB_A02,0.289865781,EOMES,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01409KE01_SPB_A02,1.081462984,TCF7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01409KE01_SPB_A02,0.892544903,CCR7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01409KE01_SPB_A02,0.611271166,CTLA4,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01409KE01_SPB_A02,0.177549134,CD244,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A16_K06191KE01_SPB_A01,0.496012691,PDCD1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01409KE01_SPB_A02,0.485387043,KI67,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A16_K06191KE01_SPB_A01,0.132048161,CD244,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01409KE01_SPB_A02,0.656945154,ICOS,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01427KE01_SPB_A02,0.79306512,PDCD1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK04213EB01,0.968556867,CCR7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK04213EB01,0.86444723,ICOS,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01427KE01_SPB_A02,0.298773389,EOMES,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK04213EB01,0.656376799,LAG3,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00977EB01,0.44286708,HAVR2,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01427KE01_SPB_A04,0.637800403,TBX21,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00977EB01,0.405241799,TBX21,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
