Gene Symbol	NCBI Gene ID	RNA-Seq Raw Counts	FPKM	CPM	TPM	Percentile Rank	Is Expressed	sample
A1BG	1	26904	203.1618	376.4588	771.3641	0.99	yes	K00882FP02_SL10
A1BG-AS1	503538	145	0.9526	2.0289	3.6166	0.4	yes	K00882FP02_SL10
A1CF	29974	8626	12.6667	120.7008	48.0928	0.83	yes	K00882FP02_SL10
A2M	2	78566	236.2665	1099.3482	897.0561	0.99	yes	K00882FP02_SL10
A2M-AS1	144571	48	0.3071	0.6716	1.166	0.3	no	K00882FP02_SL10
A2ML1	144568	736	1.8897	10.2986	7.1746	0.48	yes	K00882FP02_SL10
A3GALT2	127550	37	0.5061	0.5177	1.9215	0.34	no	K00882FP02_SL10
A4GALT	53947	303	1.3937	4.2398	5.2918	0.44	yes	K00882FP02_SL10
A4GNT	51146	18	0.1422	0.2519	0.54	0.25	no	K00882FP02_SL10
AAAS	8086	1019	7.7619	14.2585	29.4702	0.73	yes	K00882FP02_SL10
AACS	65985	946	3.9763	13.2371	15.0972	0.6	yes	K00882FP02_SL10
AADAC	13	8200	67.5736	114.7399	256.5631	0.97	yes	K00882FP02_SL10
AADACL2	344752	0	0	0	0	0	no	K00882FP02_SL10
AADACL3	126767	0	0	0	0	0	no	K00882FP02_SL10
AADACL4	343066	0	0	0	0	0	no	K00882FP02_SL10
AADAT	51166	1629	8.1262	22.7941	30.8536	0.74	yes	K00882FP02_SL10
PRXL2C	195827	719	6.0863	10.0607	23.1086	0.68	yes	K00882FP02_SL10
AAGAB	79719	1700	6.779	23.7875	25.7385	0.71	yes	K00882FP02_SL10
AAK1	22848	6220	3.9906	87.0344	15.1514	0.6	yes	K00882FP02_SL10
AAMDC	28971	187	4.3108	2.6166	16.3671	0.62	yes	K00882FP02_SL10
AAMP	14	3027	23.5834	42.3558	89.5414	0.92	yes	K00882FP02_SL10
AANAT	15	4	0.0267	0.056	0.1015	0.18	no	K00882FP02_SL10
AAR2	25980	887	4.1663	12.4115	15.8187	0.61	yes	K00882FP02_SL10
AARD	441376	1	0.0078	0.014	0.0297	0.14	no	K00882FP02_SL10
AARS	16	5568	22.4982	77.9112	85.421	0.91	yes	K00882FP02_SL10
AARS2	57505	1403	4.0789	19.6317	15.4867	0.61	yes	K00882FP02_SL10
AARSD1	80755	7	0.0718	0.0979	0.2726	0.22	no	K00882FP02_SL10
AASDH	132949	1876	6.1693	26.2503	23.4235	0.69	yes	K00882FP02_SL10
AASDHPPT	60496	880	4.3039	12.3136	16.3412	0.62	yes	K00882FP02_SL10
AASS	10157	8649	19.2803	121.0226	73.2035	0.89	yes	K00882FP02_SL10
AATF	26574	1965	12.8424	27.4956	48.76	0.83	yes	K00882FP02_SL10
AATK	9625	885	1.2573	12.3835	4.7739	0.43	yes	K00882FP02_SL10
PVALEF	388428	0	0	0	0	0	no	K00882FP02_SL10
ABAT	18	8542	19.901	119.5254	75.5601	0.9	yes	K00882FP02_SL10
ABCA1	19	20168	25.2464	282.2042	95.8554	0.92	yes	K00882FP02_SL10
ABCA10	10349	4174	8.8857	58.4054	33.737	0.76	yes	K00882FP02_SL10
ABCA11P	79963	423	1.5617	5.9189	5.9295	0.45	yes	K00882FP02_SL10
ABCA12	26154	693	1.0349	9.6969	3.9293	0.41	yes	K00882FP02_SL10
ABCA13	154664	9003	7.1261	125.976	27.0565	0.72	yes	K00882FP02_SL10
ABCA2	20	15886	26.5894	222.2876	100.9546	0.93	yes	K00882FP02_SL10
ABCA3	21	1235	2.6002	17.2809	9.8724	0.53	yes	K00882FP02_SL10
ABCA4	24	101	0.1929	1.4133	0.7324	0.27	no	K00882FP02_SL10
ABCA5	23461	9683	14.2577	135.491	54.1336	0.85	yes	K00882FP02_SL10
ABCA6	23460	15708	41.5024	219.7969	157.5763	0.96	yes	K00882FP02_SL10
ABCA7	10347	3441	7.061	48.1488	26.8091	0.72	yes	K00882FP02_SL10
ABCA8	10351	7205	15.5558	100.8172	59.0622	0.86	yes	K00882FP02_SL10
ABCA9	10350	6478	12.8192	90.6445	48.6719	0.83	yes	K00882FP02_SL10
ABCB1	5243	3543	10.5123	49.576	39.9131	0.79	yes	K00882FP02_SL10
ABCB10	23456	1673	6.0694	23.4097	23.0443	0.68	yes	K00882FP02_SL10
ABCB11	8647	15960	31.5919	223.323	119.948	0.94	yes	K00882FP02_SL10
ABCB4	5244	10277	36.0588	143.8027	136.9081	0.95	yes	K00882FP02_SL10
ABCB5	340273	15	0.027	0.2099	0.1026	0.18	no	K00882FP02_SL10
ABCB6	10058	1520	6.7563	21.2689	25.6523	0.71	yes	K00882FP02_SL10
ABCB7	22	2572	14.2362	35.9892	54.052	0.85	yes	K00882FP02_SL10
ABCB8	11194	2015	5.5361	28.1952	21.0194	0.67	yes	K00882FP02_SL10
ABCB9	23457	318	1.1383	4.4497	4.3219	0.42	yes	K00882FP02_SL10
ABCC1	4363	5018	10.6484	70.2152	40.4296	0.8	yes	K00882FP02_SL10
ABCC10	89845	2852	6.6291	39.9071	25.1693	0.7	yes	K00882FP02_SL10
ABCC11	85320	341	0.9299	4.7715	3.5308	0.4	yes	K00882FP02_SL10
ABCC12	94160	2	0.0054	0.028	0.0204	0.13	no	K00882FP02_SL10
ABCC13	150000	5	0.0237	0.07	0.09	0.17	no	K00882FP02_SL10
ABCC2	1244	22508	62.2794	314.9471	236.4623	0.97	yes	K00882FP02_SL10
ABCC3	8714	52838	139.9214	739.3448	531.2532	0.99	yes	K00882FP02_SL10
ABCC4	10257	1300	2.8312	18.1905	10.7495	0.54	yes	K00882FP02_SL10
ABCC5	10057	4124	7.2295	57.7058	27.4489	0.72	yes	K00882FP02_SL10
ABCC6	368	8656	19.0292	121.1206	72.2498	0.89	yes	K00882FP02_SL10
ABCC6P1	653190	630	3.2314	8.8154	12.2691	0.56	yes	K00882FP02_SL10
ABCC6P2	730013	81	1.6054	1.1334	6.0953	0.46	yes	K00882FP02_SL10
ABCC8	6833	22	0.0618	0.3078	0.2347	0.21	no	K00882FP02_SL10
ABCC9	10060	5335	7.7989	74.6509	29.6108	0.74	yes	K00882FP02_SL10
ABCD1	215	2535	4.8405	35.4714	18.3785	0.64	yes	K00882FP02_SL10
ABCD2	225	115	0.3013	1.6092	1.1439	0.3	no	K00882FP02_SL10
ABCD3	5825	9686	34.2601	135.533	130.0787	0.95	yes	K00882FP02_SL10
ABCD4	5826	2039	6.7227	28.5311	25.5247	0.71	yes	K00882FP02_SL10
ABCE1	6059	4585	15.2972	64.1564	58.0803	0.86	yes	K00882FP02_SL10
ABCF1	23	2690	1.6157	37.6403	6.1344	0.46	yes	K00882FP02_SL10
ABCF2	10061	1418	3.8595	19.8416	14.6537	0.6	yes	K00882FP02_SL10
ABCF3	55324	2879	15.4645	40.2849	58.7154	0.86	yes	K00882FP02_SL10
ABCG1	9619	3122	4.0356	43.6851	15.3223	0.61	yes	K00882FP02_SL10
ABCG2	9429	2173	6.2193	30.4061	23.6134	0.69	yes	K00882FP02_SL10
ABCG4	64137	24	0.0853	0.3358	0.3239	0.23	no	K00882FP02_SL10
ABCG5	64240	3151	14.6872	44.0909	55.7642	0.85	yes	K00882FP02_SL10
ABCG8	64241	3729	17.3524	52.1787	65.8835	0.88	yes	K00882FP02_SL10
ABHD1	84696	92	0.8611	1.2873	3.2694	0.39	yes	K00882FP02_SL10
ABHD10	55347	504	2.5133	7.0523	9.5425	0.52	yes	K00882FP02_SL10
ABHD11	83451	1424	6.0527	19.9256	22.981	0.68	yes	K00882FP02_SL10
ABHD12	26090	2436	11.8891	34.0861	45.1406	0.82	yes	K00882FP02_SL10
ABHD12B	145447	0	0	0	0	0	no	K00882FP02_SL10
ABHD13	84945	821	2.1667	11.488	8.2266	0.5	yes	K00882FP02_SL10
ABHD14A	25864	357	3.7559	4.9954	14.2605	0.59	yes	K00882FP02_SL10
ABHD14A-ACY1	100526760	0	0	0	0	0	no	K00882FP02_SL10
ABHD14B	84836	1974	11.3342	27.6215	43.0338	0.81	yes	K00882FP02_SL10
ABHD15	116236	844	3.5096	11.8098	13.3253	0.58	yes	K00882FP02_SL10
ABHD16A	7920	1680	1.3585	23.5077	5.158	0.44	yes	K00882FP02_SL10
ABHD16B	140701	4	0.0315	0.056	0.1197	0.18	no	K00882FP02_SL10
ABHD17A	81926	1079	8.7984	15.0981	33.4058	0.76	yes	K00882FP02_SL10
ABHD17B	51104	718	3.0818	10.0467	11.7011	0.56	yes	K00882FP02_SL10
ABHD17C	58489	2385	14.0398	33.3725	53.3061	0.85	yes	K00882FP02_SL10
ABHD2	11057	15294	23.2841	214.0039	88.4049	0.92	yes	K00882FP02_SL10
ABHD3	171586	1254	7.0075	17.5468	26.6061	0.71	yes	K00882FP02_SL10
ABHD4	63874	747	3.8684	10.4525	14.6877	0.6	yes	K00882FP02_SL10
ABHD5	51099	1176	3.074	16.4554	11.6715	0.56	yes	K00882FP02_SL10
ABHD6	57406	828	4.6549	11.5859	17.6735	0.63	yes	K00882FP02_SL10
ABHD8	79575	501	3.3542	7.0103	12.7353	0.57	yes	K00882FP02_SL10
ABI1	10006	4121	15.2711	57.6638	57.9814	0.86	yes	K00882FP02_SL10
ABI2	10152	2133	4.1128	29.8464	15.6154	0.61	yes	K00882FP02_SL10
ABI3	51225	1686	11.0759	23.5916	42.0529	0.8	yes	K00882FP02_SL10
ABI3BP	25890	1839	3.3988	25.7325	12.9047	0.57	yes	K00882FP02_SL10
ABL1	25	26952	54.1465	377.1305	205.5833	0.97	yes	K00882FP02_SL10
ABL2	27	2630	2.9094	36.8007	11.0463	0.54	yes	K00882FP02_SL10
ABLIM1	3983	3190	4.5772	44.6366	17.3786	0.63	yes	K00882FP02_SL10
ABLIM2	84448	1063	2.7933	14.8742	10.6055	0.54	yes	K00882FP02_SL10
ABLIM3	22885	5351	16.3304	74.8748	62.0031	0.87	yes	K00882FP02_SL10
ABO	28	8911	35.9126	124.6887	136.353	0.95	yes	K00882FP02_SL10
ABR	29	11589	24.7536	162.1611	93.9845	0.92	yes	K00882FP02_SL10
ABRA	137735	3	0.0152	0.042	0.0579	0.16	no	K00882FP02_SL10
ABRACL	58527	857	14.1914	11.9917	53.8818	0.85	yes	K00882FP02_SL10
ABT1	29777	612	1.8912	8.5635	7.1806	0.48	yes	K00882FP02_SL10
ABTB1	80325	2315	16.0203	32.393	60.8258	0.87	yes	K00882FP02_SL10
ABTB2	25841	1984	5.6621	27.7615	21.498	0.67	yes	K00882FP02_SL10
ACAA1	30	7502	52.8299	104.973	200.5844	0.97	yes	K00882FP02_SL10
