Gene Symbol	NCBI Gene ID	RNA-Seq Raw Counts	FPKM	CPM	TPM	Percentile Rank	Is Expressed	sample
A1BG	1	24832	171.7547	318.2615	612.085	0.99	yes	BK02630BL01-11
A1BG-AS1	503538	108	0.6499	1.3842	2.3159	0.37	yes	BK02630BL01-11
A1CF	29974	13217	17.777	169.3969	63.3521	0.87	yes	BK02630BL01-11
A2M	2	88207	242.9643	1130.5129	865.8555	0.99	yes	BK02630BL01-11
A2M-AS1	144571	33	0.1934	0.4229	0.6892	0.28	no	BK02630BL01-11
A2ML1	144568	214	0.5033	2.7428	1.7935	0.35	no	BK02630BL01-11
A3GALT2	127550	31	0.3884	0.3973	1.3841	0.33	no	BK02630BL01-11
A4GALT	53947	834	3.5138	10.689	12.5222	0.57	yes	BK02630BL01-11
A4GNT	51146	2	0.0145	0.0256	0.0516	0.17	no	BK02630BL01-11
AAAS	8086	1374	9.5863	17.61	34.1628	0.76	yes	BK02630BL01-11
AACS	65985	883	3.3995	11.317	12.115	0.57	yes	BK02630BL01-11
AADAC	13	13492	101.8383	172.9214	362.9227	0.98	yes	BK02630BL01-11
AADACL2	344752	0	0	0	0	0	no	BK02630BL01-11
AADACL3	126767	0	0	0	0	0	no	BK02630BL01-11
AADACL4	343066	0	0	0	0	0	no	BK02630BL01-11
AADAT	51166	1440	6.5796	18.4559	23.448	0.69	yes	BK02630BL01-11
PRXL2C	195827	779	6.04	9.9841	21.5248	0.67	yes	BK02630BL01-11
AAGAB	79719	1509	5.5116	19.3402	19.6418	0.66	yes	BK02630BL01-11
AAK1	22848	4918	2.89	63.032	10.2993	0.54	yes	BK02630BL01-11
AAMDC	28971	269	5.6798	3.4477	20.2413	0.66	yes	BK02630BL01-11
AAMP	14	3674	26.2183	47.0881	93.4347	0.92	yes	BK02630BL01-11
AANAT	15	0	0	0	0	0	no	BK02630BL01-11
AAR2	25980	569	2.448	7.2926	8.724	0.52	yes	BK02630BL01-11
AARD	441376	0	0	0	0	0	no	BK02630BL01-11
AARS	16	7874	29.1417	100.9178	103.8528	0.93	yes	BK02630BL01-11
AARS2	57505	1807	4.8119	23.1596	17.1482	0.63	yes	BK02630BL01-11
AARSD1	80755	2	0.0188	0.0256	0.067	0.18	no	BK02630BL01-11
AASDH	132949	2328	7.0122	29.837	24.9896	0.7	yes	BK02630BL01-11
AASDHPPT	60496	1283	5.7475	16.4437	20.4826	0.66	yes	BK02630BL01-11
AASS	10157	8369	17.0881	107.262	60.8971	0.87	yes	BK02630BL01-11
AATF	26574	2410	14.4269	30.888	51.4133	0.84	yes	BK02630BL01-11
AATK	9625	706	0.9187	9.0485	3.2741	0.4	yes	BK02630BL01-11
PVALEF	388428	1	0.0081	0.0128	0.029	0.15	no	BK02630BL01-11
ABAT	18	7659	16.344	98.1623	58.2455	0.86	yes	BK02630BL01-11
ABCA1	19	23089	26.4736	295.9222	94.3445	0.92	yes	BK02630BL01-11
ABCA10	10349	4338	8.4586	55.5984	30.144	0.74	yes	BK02630BL01-11
ABCA11P	79963	458	1.5488	5.87	5.5195	0.46	yes	BK02630BL01-11
ABCA12	26154	35	0.0479	0.4486	0.1706	0.21	no	BK02630BL01-11
ABCA13	154664	1154	0.8367	14.7903	2.9816	0.39	yes	BK02630BL01-11
ABCA2	20	8644	13.252	110.7866	47.2263	0.82	yes	BK02630BL01-11
ABCA3	21	804	1.5505	10.3045	5.5255	0.46	yes	BK02630BL01-11
ABCA4	24	135	0.2362	1.7302	0.8417	0.3	no	BK02630BL01-11
ABCA5	23461	9085	12.2528	116.4387	43.6656	0.81	yes	BK02630BL01-11
ABCA6	23460	22640	54.79	290.1676	195.2558	0.97	yes	BK02630BL01-11
ABCA7	10347	6285	11.8129	80.5523	42.0979	0.8	yes	BK02630BL01-11
ABCA8	10351	15436	30.5257	197.8369	108.7848	0.93	yes	BK02630BL01-11
ABCA9	10350	10402	18.8542	133.3182	67.1911	0.88	yes	BK02630BL01-11
ABCB1	5243	3054	8.2998	39.1419	29.5781	0.74	yes	BK02630BL01-11
ABCB10	23456	1671	5.5526	21.4165	19.788	0.66	yes	BK02630BL01-11
ABCB11	8647	10862	19.6936	139.2138	70.1822	0.89	yes	BK02630BL01-11
ABCB4	5244	10525	33.8251	134.8946	120.5431	0.94	yes	BK02630BL01-11
ABCB5	340273	6	0.0099	0.0769	0.0353	0.16	no	BK02630BL01-11
ABCB6	10058	1200	4.8856	15.3799	17.4109	0.63	yes	BK02630BL01-11
ABCB7	22	3566	18.0791	45.704	64.4288	0.88	yes	BK02630BL01-11
ABCB8	11194	1835	4.6178	23.5184	16.4565	0.62	yes	BK02630BL01-11
ABCB9	23457	226	0.741	2.8965	2.6407	0.38	yes	BK02630BL01-11
ABCC1	4363	4868	9.4618	62.3912	33.7192	0.76	yes	BK02630BL01-11
ABCC10	89845	4000	8.516	51.2664	30.3486	0.74	yes	BK02630BL01-11
ABCC11	85320	853	2.1307	10.9326	7.5932	0.5	yes	BK02630BL01-11
ABCC12	94160	11	0.0271	0.141	0.0966	0.19	no	BK02630BL01-11
ABCC13	150000	0	0	0	0	0	no	BK02630BL01-11
