Gene Symbol	NCBI Gene ID	RNA-Seq Raw Counts	FPKM	CPM	TPM	Percentile Rank	Is Expressed	sample
A1BG	1	57029	400.8427	742.7616	1281.6336	1	yes	BK02571TS06
A1BG-AS1	503538	109	0.6665	1.4196	2.131	0.43	yes	BK02571TS06
A1CF	29974	38251	52.2816	498.1917	167.1626	0.97	yes	BK02571TS06
A2M	2	134143	375.4816	1747.1159	1200.5451	1	yes	BK02571TS06
A2M-AS1	144571	48	0.2859	0.6252	0.914	0.36	no	BK02571TS06
A2ML1	144568	0	0	0	0	0	no	BK02571TS06
A3GALT2	127550	11	0.14	0.1433	0.4478	0.31	no	BK02571TS06
A4GALT	53947	188	0.8049	2.4486	2.5736	0.45	yes	BK02571TS06
A4GNT	51146	10	0.0735	0.1302	0.2351	0.27	no	BK02571TS06
AAAS	8086	1451	10.2875	18.8982	32.8929	0.84	yes	BK02571TS06
AACS	65985	277	1.0837	3.6077	3.465	0.48	yes	BK02571TS06
AADAC	13	20116	154.2971	261.9964	493.3413	0.99	yes	BK02571TS06
AADACL2	344752	0	0	0	0	0	no	BK02571TS06
AADACL3	126767	0	0	0	0	0	no	BK02571TS06
AADACL4	343066	3	0.0248	0.0391	0.0793	0.22	no	BK02571TS06
AADAT	51166	5153	23.9266	67.1141	76.5017	0.93	yes	BK02571TS06
PRXL2C	195827	372	2.9311	4.845	9.3716	0.62	yes	BK02571TS06
AAGAB	79719	760	2.8209	9.8985	9.0193	0.62	yes	BK02571TS06
AAK1	22848	2775	1.6571	36.1424	5.2985	0.54	yes	BK02571TS06
AAMDC	28971	266	5.7075	3.4645	18.2489	0.74	yes	BK02571TS06
AAMP	14	3037	22.0238	39.5547	70.4177	0.92	yes	BK02571TS06
AANAT	15	0	0	0	0	0	no	BK02571TS06
AAR2	25980	572	2.5008	7.4499	7.9959	0.6	yes	BK02571TS06
AARD	441376	0	0	0	0	0	no	BK02571TS06
AARS	16	6019	22.6373	78.3931	72.3795	0.92	yes	BK02571TS06
AARS2	57505	1421	3.8453	18.5075	12.2948	0.67	yes	BK02571TS06
AARSD1	80755	2	0.0191	0.026	0.0611	0.21	no	BK02571TS06
