Gene Symbol	NCBI Gene ID	RNA-Seq Raw Counts	FPKM	CPM	TPM	Percentile Rank	Is Expressed	sample
A1BG	1	228	1.5935	2.9527	6.2386	0.45	yes	BK00506TS04
A1BG-AS1	503538	419	2.5475	5.4262	9.9738	0.52	yes	BK00506TS04
A1CF	29974	464	0.6306	6.0089	2.4689	0.36	yes	BK00506TS04
A2M	2	18617	51.815	241.0953	202.8633	0.97	yes	BK00506TS04
A2M-AS1	144571	42	0.2487	0.5439	0.9737	0.3	no	BK00506TS04
A2ML1	144568	13	0.0309	0.1684	0.1209	0.19	no	BK00506TS04
A3GALT2	127550	52	0.6583	0.6734	2.5772	0.37	yes	BK00506TS04
A4GALT	53947	827	3.5207	10.7099	13.7839	0.57	yes	BK00506TS04
A4GNT	51146	114	0.8336	1.4763	3.2637	0.39	yes	BK00506TS04
AAAS	8086	1598	11.2654	20.6945	44.1057	0.8	yes	BK00506TS04
AACS	65985	2501	9.7292	32.3886	38.0914	0.77	yes	BK00506TS04
AADAC	13	1672	12.752	21.6529	49.9258	0.82	yes	BK00506TS04
AADACL2	344752	0	0	0	0	0	no	BK00506TS04
AADACL3	126767	0	0	0	0	0	no	BK00506TS04
AADACL4	343066	0	0	0	0	0	no	BK00506TS04
AADAT	51166	563	2.5993	7.291	10.1766	0.52	yes	BK00506TS04
PRXL2C	195827	880	6.8943	11.3962	26.9921	0.7	yes	BK00506TS04
AAGAB	79719	1153	4.2552	14.9317	16.6599	0.6	yes	BK00506TS04
AAK1	22848	7355	4.3672	95.2493	17.0983	0.61	yes	BK00506TS04
AAMDC	28971	262	5.5897	3.393	21.8846	0.66	yes	BK00506TS04
AAMP	14	4063	29.2968	52.617	114.701	0.93	yes	BK00506TS04
AANAT	15	5	0.0309	0.0648	0.1211	0.19	no	BK00506TS04
AAR2	25980	797	3.4647	10.3214	13.5648	0.57	yes	BK00506TS04
AARD	441376	6	0.0435	0.0777	0.1703	0.21	no	BK00506TS04
AARS	16	9947	37.1979	128.8164	145.6352	0.95	yes	BK00506TS04
AARS2	57505	3030	8.1528	39.2393	31.9193	0.73	yes	BK00506TS04
