Gene Symbol	NCBI Gene ID	RNA-Seq Raw Counts	FPKM	CPM	TPM	Percentile Rank	Is Expressed	sample
A1BG	1	147	1.1035	2.0448	3.9804	0.41	yes	BK02648BL01-3
A1BG-AS1	503538	243	1.587	3.3803	5.7242	0.46	yes	BK02648BL01-3
A1CF	29974	29	0.0423	0.4034	0.1527	0.2	no	BK02648BL01-3
A2M	2	30611	91.5139	425.8143	330.0898	0.98	yes	BK02648BL01-3
A2M-AS1	144571	114	0.7251	1.5858	2.6154	0.37	yes	BK02648BL01-3
A2ML1	144568	51	0.1302	0.7094	0.4695	0.25	no	BK02648BL01-3
A3GALT2	127550	20	0.272	0.2782	0.9809	0.3	no	BK02648BL01-3
A4GALT	53947	927	4.239	12.895	15.29	0.61	yes	BK02648BL01-3
A4GNT	51146	11	0.0864	0.153	0.3116	0.23	no	BK02648BL01-3
AAAS	8086	1580	11.9644	21.9786	43.1554	0.82	yes	BK02648BL01-3
AACS	65985	1877	7.8432	26.11	28.2903	0.74	yes	BK02648BL01-3
AADAC	13	107	0.8766	1.4884	3.1618	0.39	yes	BK02648BL01-3
AADACL2	344752	0	0	0	0	0	no	BK02648BL01-3
AADACL3	126767	0	0	0	0	0	no	BK02648BL01-3
AADACL4	343066	4	0.0353	0.0556	0.1274	0.19	no	BK02648BL01-3
AADAT	51166	240	1.1902	3.3385	4.2931	0.42	yes	BK02648BL01-3
PRXL2C	195827	477	4.0141	6.6353	14.4788	0.6	yes	BK02648BL01-3
AAGAB	79719	1548	6.1366	21.5335	22.1348	0.68	yes	BK02648BL01-3
AAK1	22848	6985	4.4551	97.1648	16.0694	0.62	yes	BK02648BL01-3
AAMDC	28971	222	5.0875	3.0881	18.3507	0.65	yes	BK02648BL01-3
AAMP	14	2858	22.136	39.7562	79.8442	0.91	yes	BK02648BL01-3
AANAT	15	1	0.0066	0.0139	0.024	0.15	no	BK02648BL01-3
AAR2	25980	958	4.4734	13.3263	16.1355	0.62	yes	BK02648BL01-3
AARD	441376	6	0.0467	0.0835	0.1686	0.21	no	BK02648BL01-3
AARS	16	4500	18.076	62.5973	65.2	0.89	yes	BK02648BL01-3
AARS2	57505	2483	7.1764	34.5398	25.885	0.72	yes	BK02648BL01-3
AARSD1	80755	1	0.0102	0.0139	0.0368	0.16	no	BK02648BL01-3
AASDH	132949	1257	4.1094	17.4855	14.8226	0.6	yes	BK02648BL01-3
AASDHPPT	60496	637	3.0972	8.861	11.1714	0.55	yes	BK02648BL01-3
AASS	10157	2111	4.6782	29.3651	16.8742	0.63	yes	BK02648BL01-3
AATF	26574	2469	16.0416	34.345	57.8618	0.87	yes	BK02648BL01-3
AATK	9625	4555	6.4334	63.3623	23.2051	0.69	yes	BK02648BL01-3
PVALEF	388428	0	0	0	0	0	no	BK02648BL01-3
ABAT	18	547	1.2669	7.609	4.5697	0.43	yes	BK02648BL01-3
ABCA1	19	8020	9.9805	111.5622	35.9996	0.79	yes	BK02648BL01-3
ABCA10	10349	3767	7.9721	52.4009	28.7554	0.74	yes	BK02648BL01-3
ABCA11P	79963	317	1.1635	4.4096	4.1967	0.42	yes	BK02648BL01-3
ABCA12	26154	558	0.8284	7.7621	2.988	0.39	yes	BK02648BL01-3
ABCA13	154664	2383	1.8751	33.1487	6.7636	0.48	yes	BK02648BL01-3
ABCA2	20	11488	19.1153	159.8038	68.9487	0.89	yes	BK02648BL01-3
ABCA3	21	1798	3.7633	25.0111	13.5743	0.59	yes	BK02648BL01-3
ABCA4	24	34	0.0646	0.473	0.2329	0.22	no	BK02648BL01-3
ABCA5	23461	4360	6.3822	60.6498	23.0204	0.69	yes	BK02648BL01-3
ABCA6	23460	4751	12.479	66.0888	45.0116	0.83	yes	BK02648BL01-3
ABCA7	10347	12821	26.1544	178.3465	94.3385	0.93	yes	BK02648BL01-3
ABCA8	10351	5740	12.3201	79.8463	44.4383	0.83	yes	BK02648BL01-3
ABCA9	10350	3964	7.7982	55.1412	28.1281	0.73	yes	BK02648BL01-3
ABCB1	5243	1275	3.7608	17.7359	13.5651	0.59	yes	BK02648BL01-3
ABCB10	23456	1000	3.6066	13.9105	13.0088	0.58	yes	BK02648BL01-3
ABCB11	8647	190	0.3739	2.643	1.3486	0.32	no	BK02648BL01-3
ABCB4	5244	452	1.5766	6.2875	5.6868	0.46	yes	BK02648BL01-3
ABCB5	340273	19	0.034	0.2643	0.1228	0.19	no	BK02648BL01-3
ABCB6	10058	1152	5.0905	16.0249	18.3614	0.65	yes	BK02648BL01-3
ABCB7	22	2173	11.9571	30.2275	43.1291	0.82	yes	BK02648BL01-3
ABCB8	11194	2758	7.5329	38.3652	27.1712	0.73	yes	BK02648BL01-3
ABCB9	23457	763	2.7152	10.6137	9.7937	0.53	yes	BK02648BL01-3
ABCC1	4363	10046	21.1927	139.7449	76.442	0.91	yes	BK02648BL01-3
ABCC10	89845	5969	13.7927	83.0318	49.75	0.85	yes	BK02648BL01-3
ABCC11	85320	34	0.0922	0.473	0.3325	0.24	no	BK02648BL01-3
ABCC12	94160	0	0	0	0	0	no	BK02648BL01-3
ABCC13	150000	19	0.0895	0.2643	0.3228	0.23	no	BK02648BL01-3
