Gene Symbol	NCBI Gene ID	RNA-Seq Raw Counts	FPKM	CPM	TPM	Percentile Rank	Is Expressed	sample
A1BG	1	10141	73.6306	136.4375	267.3989	0.98	yes	BK02574TS04
A1BG-AS1	503538	148	0.9348	1.9912	3.395	0.41	yes	BK02574TS04
A1CF	29974	4425	6.2477	59.5341	22.6893	0.69	yes	BK02574TS04
A2M	2	35131	101.5805	472.654	368.9026	0.98	yes	BK02574TS04
A2M-AS1	144571	35	0.2153	0.4709	0.7819	0.29	no	BK02574TS04
A2ML1	144568	529	1.3059	7.1172	4.7426	0.44	yes	BK02574TS04
A3GALT2	127550	58	0.7628	0.7803	2.7702	0.39	yes	BK02574TS04
A4GALT	53947	2751	12.167	37.0121	44.1861	0.82	yes	BK02574TS04
A4GNT	51146	2	0.0152	0.0269	0.0552	0.17	no	BK02574TS04
AAAS	8086	2308	16.9036	31.0519	61.3876	0.87	yes	BK02574TS04
AACS	65985	1897	7.6667	25.5223	27.8425	0.73	yes	BK02574TS04
AADAC	13	2747	21.7658	36.9583	79.0451	0.9	yes	BK02574TS04
AADACL2	344752	0	0	0	0	0	no	BK02574TS04
AADACL3	126767	0	0	0	0	0	no	BK02574TS04
AADACL4	343066	2	0.0171	0.0269	0.062	0.17	no	BK02574TS04
AADAT	51166	993	4.7629	13.3599	17.297	0.63	yes	BK02574TS04
PRXL2C	195827	340	2.7673	4.5744	10.0499	0.54	yes	BK02574TS04
AAGAB	79719	1773	6.798	23.854	24.6876	0.7	yes	BK02574TS04
AAK1	22848	5744	3.5433	77.28	12.8681	0.58	yes	BK02574TS04
AAMDC	28971	124	2.7484	1.6683	9.9813	0.54	yes	BK02574TS04
AAMP	14	2860	21.4246	38.4786	77.8061	0.9	yes	BK02574TS04
AANAT	15	1	0.0064	0.0135	0.0233	0.14	no	BK02574TS04
AAR2	25980	859	3.8795	11.557	14.0889	0.6	yes	BK02574TS04
AARD	441376	0	0	0	0	0	no	BK02574TS04
AARS	16	18013	69.982	242.3477	254.1486	0.98	yes	BK02574TS04
AARS2	57505	1922	5.3727	25.8587	19.5115	0.66	yes	BK02574TS04
AARSD1	80755	4	0.0395	0.0538	0.1433	0.21	no	BK02574TS04
AASDH	132949	1303	4.12	17.5306	14.9623	0.61	yes	BK02574TS04
AASDHPPT	60496	634	2.9814	8.5299	10.8274	0.55	yes	BK02574TS04
AASS	10157	3525	7.5554	47.4255	27.4386	0.72	yes	BK02574TS04
AATF	26574	2991	18.7954	40.241	68.2581	0.88	yes	BK02574TS04
AATK	9625	344	0.4699	4.6282	1.7066	0.35	no	BK02574TS04
PVALEF	388428	0	0	0	0	0	no	BK02574TS04
ABAT	18	1878	4.2069	25.2667	15.2779	0.61	yes	BK02574TS04
ABCA1	19	13370	16.0924	179.8806	58.4415	0.86	yes	BK02574TS04
ABCA10	10349	2423	4.9596	32.5991	18.0113	0.64	yes	BK02574TS04
ABCA11P	79963	271	0.962	3.646	3.4937	0.41	yes	BK02574TS04
ABCA12	26154	7	0.0101	0.0942	0.0365	0.15	no	BK02574TS04
ABCA13	154664	1004	0.7641	13.5079	2.7749	0.39	yes	BK02574TS04
ABCA2	20	11023	17.7397	148.3039	64.424	0.88	yes	BK02574TS04
ABCA3	21	729	1.4758	9.808	5.3595	0.46	yes	BK02574TS04
ABCA4	24	116	0.213	1.5607	0.7737	0.29	no	BK02574TS04
ABCA5	23461	4573	6.4743	61.5253	23.5123	0.69	yes	BK02574TS04
ABCA6	23460	5400	13.7182	72.6518	49.8196	0.84	yes	BK02574TS04
ABCA7	10347	7172	14.1505	96.4924	51.3894	0.84	yes	BK02574TS04
ABCA8	10351	5243	10.8841	70.5395	39.5268	0.8	yes	BK02574TS04
ABCA9	10350	3450	6.5643	46.4164	23.8392	0.7	yes	BK02574TS04
ABCB1	5243	1438	4.1024	19.3469	14.8984	0.61	yes	BK02574TS04
ABCB10	23456	1239	4.3219	16.6696	15.6955	0.62	yes	BK02574TS04
ABCB11	8647	5764	10.9703	77.5491	39.8401	0.8	yes	BK02574TS04
ABCB4	5244	7198	24.2834	96.8422	88.1883	0.91	yes	BK02574TS04
ABCB5	340273	52	0.0901	0.6996	0.3272	0.24	no	BK02574TS04
ABCB6	10058	1163	4.9705	15.6471	18.0509	0.64	yes	BK02574TS04
ABCB7	22	3244	17.2646	43.6449	62.6986	0.87	yes	BK02574TS04
ABCB8	11194	2272	6.0019	30.5676	21.7966	0.68	yes	BK02574TS04
ABCB9	23457	969	3.3351	13.037	12.1119	0.57	yes	BK02574TS04
ABCC1	4363	12162	24.8147	163.6281	90.1177	0.91	yes	BK02574TS04
ABCC10	89845	3836	8.573	51.6097	31.1341	0.75	yes	BK02574TS04
ABCC11	85320	339	0.8889	4.5609	3.2281	0.4	yes	BK02574TS04
ABCC12	94160	7	0.0181	0.0942	0.0657	0.17	no	BK02574TS04
ABCC13	150000	0	0	0	0	0	no	BK02574TS04
ABCC2	1244	11751	31.2633	158.0985	113.5367	0.93	yes	BK02574TS04
ABCC3	8714	48202	122.7312	648.5118	445.7142	0.99	yes	BK02574TS04
ABCC4	10257	1033	2.1631	13.898	7.8556	0.5	yes	BK02574TS04
ABCC5	10057	3472	5.8522	46.7124	21.2531	0.67	yes	BK02574TS04
ABCC6	368	6189	13.082	83.2671	47.509	0.83	yes	BK02574TS04
ABCC6P1	653190	681	3.3586	9.1622	12.1971	0.57	yes	BK02574TS04
ABCC6P2	730013	36	0.686	0.4843	2.4914	0.38	yes	BK02574TS04
ABCC8	6833	33	0.0891	0.444	0.3237	0.24	no	BK02574TS04
ABCC9	10060	1638	2.3023	22.0377	8.3611	0.51	yes	BK02574TS04
ABCD1	215	4448	8.1664	59.8436	29.6574	0.74	yes	BK02574TS04
ABCD2	225	54	0.136	0.7265	0.494	0.26	no	BK02574TS04
ABCD3	5825	5510	18.7391	74.1318	68.0534	0.88	yes	BK02574TS04
ABCD4	5826	3589	11.3776	48.2866	41.3192	0.81	yes	BK02574TS04
ABCE1	6059	3959	12.7002	53.2646	46.1223	0.82	yes	BK02574TS04
ABCF1	23	2612	1.5084	35.142	5.4781	0.46	yes	BK02574TS04
ABCF2	10061	2298	6.0139	30.9174	21.8402	0.68	yes	BK02574TS04
ABCF3	55324	2737	14.1358	36.8237	51.3359	0.84	yes	BK02574TS04
ABCG1	9619	4103	5.0995	55.2019	18.5194	0.65	yes	BK02574TS04
ABCG2	9429	645	1.775	8.6779	6.4461	0.48	yes	BK02574TS04
ABCG4	64137	32	0.1094	0.4305	0.3972	0.25	no	BK02574TS04
ABCG5	64240	2182	9.7791	29.3567	35.5139	0.78	yes	BK02574TS04
ABCG8	64241	1990	8.9037	26.7735	32.3351	0.76	yes	BK02574TS04
ABHD1	84696	25	0.225	0.3364	0.8171	0.3	no	BK02574TS04
ABHD10	55347	391	1.8747	5.2605	6.8084	0.48	yes	BK02574TS04
ABHD11	83451	3310	13.5276	44.5329	49.1272	0.83	yes	BK02574TS04
ABHD12	26090	1861	8.7332	25.038	31.7156	0.75	yes	BK02574TS04
ABHD12B	145447	3	0.0101	0.0404	0.0366	0.15	no	BK02574TS04
ABHD13	84945	490	1.2434	6.5925	4.5155	0.44	yes	BK02574TS04
ABHD14A	25864	223	2.2558	3.0003	8.1923	0.51	yes	BK02574TS04
ABHD14A-ACY1	100526760	0	0	0	0	0	no	BK02574TS04
ABHD14B	84836	1784	9.849	24.002	35.7679	0.78	yes	BK02574TS04
ABHD15	116236	581	2.323	7.8168	8.4362	0.51	yes	BK02574TS04
