Gene Symbol	NCBI Gene ID	RNA-Seq Raw Counts	FPKM	CPM	TPM	Percentile Rank	Is Expressed	sample
A1BG	1	40587	285.0066	528.1171	1045.0892	1	yes	BK02579SL09
A1BG-AS1	503538	179	1.0935	2.3291	4.0097	0.42	yes	BK02579SL09
A1CF	29974	11230	15.3347	146.1245	56.2308	0.85	yes	BK02579SL09
A2M	2	89696	250.8322	1167.1224	919.7755	0.99	yes	BK02579SL09
A2M-AS1	144571	66	0.3927	0.8588	1.4399	0.33	no	BK02579SL09
A2ML1	144568	1	0.0024	0.013	0.0088	0.13	no	BK02579SL09
A3GALT2	127550	36	0.4579	0.4684	1.6791	0.34	no	BK02579SL09
A4GALT	53947	846	3.6187	11.0081	13.2695	0.58	yes	BK02579SL09
A4GNT	51146	3	0.022	0.039	0.0808	0.18	no	BK02579SL09
AAAS	8086	1928	13.6566	25.0871	50.0772	0.83	yes	BK02579SL09
AACS	65985	1605	6.2734	20.8842	23.004	0.68	yes	BK02579SL09
AADAC	13	6720	51.4962	87.4405	188.831	0.96	yes	BK02579SL09
AADACL2	344752	0	0	0	0	0	no	BK02579SL09
AADACL3	126767	0	0	0	0	0	no	BK02579SL09
AADACL4	343066	0	0	0	0	0	no	BK02579SL09
AADAT	51166	1582	7.3387	20.5849	26.9101	0.71	yes	BK02579SL09
PRXL2C	195827	617	4.8569	8.0284	17.8096	0.63	yes	BK02579SL09
AAGAB	79719	1343	4.9801	17.4751	18.2614	0.64	yes	BK02579SL09
AAK1	22848	7138	4.2586	92.8795	15.6157	0.61	yes	BK02579SL09
AAMDC	28971	248	5.3163	3.227	19.4942	0.65	yes	BK02579SL09
AAMP	14	3700	26.8064	48.1443	98.2963	0.92	yes	BK02579SL09
AANAT	15	1	0.0062	0.013	0.0228	0.15	no	BK02579SL09
AAR2	25980	616	2.6906	8.0154	9.8662	0.53	yes	BK02579SL09
AARD	441376	0	0	0	0	0	no	BK02579SL09
AARS	16	9407	35.3461	122.4037	129.6106	0.94	yes	BK02579SL09
AARS2	57505	1509	4.0796	19.6351	14.9594	0.6	yes	BK02579SL09
AARSD1	80755	2	0.0191	0.026	0.07	0.18	no	BK02579SL09
AASDH	132949	1494	4.5687	19.4399	16.753	0.62	yes	BK02579SL09
AASDHPPT	60496	868	3.9477	11.2944	14.4758	0.6	yes	BK02579SL09
AASS	10157	11475	23.7872	149.3124	87.2253	0.91	yes	BK02579SL09
AATF	26574	1789	10.8727	23.2784	39.869	0.79	yes	BK02579SL09
AATK	9625	237	0.3131	3.0838	1.1481	0.32	no	BK02579SL09
PVALEF	388428	0	0	0	0	0	no	BK02579SL09
ABAT	18	10884	23.5801	141.6224	86.4659	0.91	yes	BK02579SL09
ABCA1	19	15738	18.3201	204.7825	67.178	0.88	yes	BK02579SL09
ABCA10	10349	4423	8.7558	57.552	32.1067	0.75	yes	BK02579SL09
ABCA11P	79963	294	1.0094	3.8255	3.7013	0.41	yes	BK02579SL09
ABCA12	26154	76	0.1055	0.9889	0.387	0.25	no	BK02579SL09
ABCA13	154664	1151	0.8472	14.9768	3.1066	0.4	yes	BK02579SL09
ABCA2	20	11830	18.4129	153.9317	67.5181	0.88	yes	BK02579SL09
ABCA3	21	737	1.4429	9.5898	5.2911	0.45	yes	BK02579SL09
ABCA4	24	94	0.167	1.2231	0.6122	0.28	no	BK02579SL09
ABCA5	23461	6711	9.189	87.3234	33.6952	0.76	yes	BK02579SL09
ABCA6	23460	19028	46.7507	247.5919	171.4301	0.96	yes	BK02579SL09
ABCA7	10347	11094	21.1695	144.3549	77.6264	0.9	yes	BK02579SL09
ABCA8	10351	9290	18.6516	120.8813	68.3936	0.88	yes	BK02579SL09
ABCA9	10350	6742	12.4066	87.7268	45.4935	0.82	yes	BK02579SL09
ABCB1	5243	2580	7.1185	33.5709	26.1028	0.71	yes	BK02579SL09
ABCB10	23456	1417	4.7804	18.438	17.5292	0.63	yes	BK02579SL09
ABCB11	8647	20143	37.0774	262.1003	135.959	0.95	yes	BK02579SL09
ABCB4	5244	7105	23.1821	92.4501	85.0062	0.91	yes	BK02579SL09
ABCB5	340273	1	0.0017	0.013	0.0061	0.13	no	BK02579SL09
ABCB6	10058	1889	7.808	24.5796	28.6312	0.73	yes	BK02579SL09
ABCB7	22	3143	16.1775	40.8966	59.3211	0.86	yes	BK02579SL09
ABCB8	11194	2572	6.5711	33.4668	24.0957	0.69	yes	BK02579SL09
ABCB9	23457	526	1.7509	6.8443	6.4204	0.47	yes	BK02579SL09
ABCC1	4363	7180	14.1683	93.426	51.9538	0.84	yes	BK02579SL09
