Gene Symbol	NCBI Gene ID	RNA-Seq Raw Counts	FPKM	CPM	TPM	Percentile Rank	Is Expressed	sample
A1BG	1	20892	149.263	276.5844	543.7208	0.99	yes	BK00309BL01-8
A1BG-AS1	503538	137	0.8515	1.8137	3.1018	0.4	yes	BK00309BL01-8
A1CF	29974	8626	11.9842	114.1976	43.6549	0.81	yes	BK00309BL01-8
A2M	2	50971	145.0233	674.7934	528.2767	0.99	yes	BK00309BL01-8
A2M-AS1	144571	32	0.1937	0.4236	0.7056	0.29	no	BK00309BL01-8
A2ML1	144568	2	0.0049	0.0265	0.0177	0.15	no	BK00309BL01-8
A3GALT2	127550	28	0.3624	0.3707	1.3199	0.34	no	BK00309BL01-8
A4GALT	53947	330	1.4362	4.3688	5.2315	0.46	yes	BK00309BL01-8
A4GNT	51146	7	0.0523	0.0927	0.1906	0.23	no	BK00309BL01-8
AAAS	8086	1118	8.0571	14.8009	29.3497	0.73	yes	BK00309BL01-8
AACS	65985	1142	4.5415	15.1187	16.5434	0.62	yes	BK00309BL01-8
AADAC	13	6369	49.6571	84.3177	180.886	0.96	yes	BK00309BL01-8
AADACL2	344752	0	0	0	0	0	no	BK00309BL01-8
AADACL3	126767	0	0	0	0	0	no	BK00309BL01-8
AADACL4	343066	1	0.0084	0.0132	0.0306	0.16	no	BK00309BL01-8
AADAT	51166	831	3.9221	11.0014	14.2869	0.59	yes	BK00309BL01-8
PRXL2C	195827	472	3.7802	6.2487	13.7702	0.59	yes	BK00309BL01-8
AAGAB	79719	1831	6.908	24.2402	25.1638	0.7	yes	BK00309BL01-8
AAK1	22848	4696	2.8505	62.1693	10.3835	0.54	yes	BK00309BL01-8
AAMDC	28971	249	5.4307	3.2965	19.7825	0.66	yes	BK00309BL01-8
AAMP	14	3339	24.6126	44.2043	89.6564	0.91	yes	BK00309BL01-8
AANAT	15	4	0.0253	0.053	0.0922	0.2	no	BK00309BL01-8
AAR2	25980	685	3.0442	9.0686	11.089	0.56	yes	BK00309BL01-8
AARD	441376	0	0	0	0	0	no	BK00309BL01-8
AARS	16	6219	23.7747	82.3319	86.6043	0.91	yes	BK00309BL01-8
AARS2	57505	2473	6.8023	32.7395	24.7788	0.7	yes	BK00309BL01-8
AARSD1	80755	0	0	0	0	0	no	BK00309BL01-8
AASDH	132949	1642	5.1088	21.7381	18.6099	0.64	yes	BK00309BL01-8
AASDHPPT	60496	804	3.7204	10.644	13.5522	0.59	yes	BK00309BL01-8
