Gene Symbol	NCBI Gene ID	RNA-Seq Raw Counts	FPKM	CPM	TPM	Percentile Rank	Is Expressed	sample
A1BG	1	60257	453.6722	840.6545	1581.4479	1	yes	BK00485BL01-7
A1BG-AS1	503538	213	1.3951	2.9716	4.8632	0.48	yes	BK00485BL01-7
A1CF	29974	25382	37.1611	354.1081	129.5392	0.95	yes	BK00485BL01-7
A2M	2	138328	414.7507	1929.8349	1445.7722	1	yes	BK00485BL01-7
A2M-AS1	144571	39	0.2488	0.5441	0.8672	0.32	no	BK00485BL01-7
A2ML1	144568	3	0.0077	0.0419	0.0268	0.16	no	BK00485BL01-7
A3GALT2	127550	30	0.4091	0.4185	1.4262	0.36	no	BK00485BL01-7
A4GALT	53947	258	1.1832	3.5994	4.1246	0.46	yes	BK00485BL01-7
A4GNT	51146	6	0.0473	0.0837	0.1648	0.22	no	BK00485BL01-7
AAAS	8086	1451	11.0197	20.2431	38.4133	0.83	yes	BK00485BL01-7
AACS	65985	532	2.2295	7.422	7.7718	0.54	yes	BK00485BL01-7
AADAC	13	16911	138.9446	235.9279	484.3445	0.99	yes	BK00485BL01-7
AADACL2	344752	0	0	0	0	0	no	BK00485BL01-7
AADACL3	126767	0	0	0	0	0	no	BK00485BL01-7
AADACL4	343066	0	0	0	0	0	no	BK00485BL01-7
AADAT	51166	2163	10.7581	30.1763	37.5013	0.82	yes	BK00485BL01-7
PRXL2C	195827	487	4.1102	6.7942	14.3278	0.65	yes	BK00485BL01-7
AAGAB	79719	1128	4.4847	15.7369	15.6332	0.66	yes	BK00485BL01-7
AAK1	22848	3689	2.3597	51.4658	8.2258	0.55	yes	BK00485BL01-7
AAMDC	28971	256	5.8838	3.5715	20.5104	0.71	yes	BK00485BL01-7
AAMP	14	2362	18.3478	32.9526	63.9582	0.89	yes	BK00485BL01-7
AANAT	15	4	0.0267	0.0558	0.0929	0.2	no	BK00485BL01-7
AAR2	25980	553	2.5898	7.715	9.0277	0.57	yes	BK00485BL01-7
AARD	441376	0	0	0	0	0	no	BK00485BL01-7
AARS	16	6920	27.8781	96.542	97.1799	0.93	yes	BK00485BL01-7
AARS2	57505	1434	4.1566	20.006	14.4896	0.65	yes	BK00485BL01-7
AARSD1	80755	0	0	0	0	0	no	BK00485BL01-7
AASDH	132949	1500	4.9181	20.9267	17.1441	0.68	yes	BK00485BL01-7
AASDHPPT	60496	879	4.2863	12.2631	14.9415	0.65	yes	BK00485BL01-7
AASS	10157	6194	13.7667	86.4134	47.989	0.86	yes	BK00485BL01-7
AATF	26574	1563	10.1848	21.8056	35.503	0.81	yes	BK00485BL01-7
AATK	9625	175	0.2479	2.4415	0.8641	0.32	no	BK00485BL01-7
PVALEF	388428	0	0	0	0	0	no	BK00485BL01-7
ABAT	18	13773	31.9929	192.1492	111.5234	0.94	yes	BK00485BL01-7
ABCA1	19	18966	23.6713	264.5975	82.5153	0.92	yes	BK00485BL01-7
ABCA10	10349	7174	15.2268	100.0856	53.0787	0.87	yes	BK00485BL01-7
ABCA11P	79963	245	0.9019	3.418	3.1438	0.43	yes	BK00485BL01-7
ABCA12	26154	76	0.1132	1.0603	0.3945	0.27	no	BK00485BL01-7
ABCA13	154664	1315	1.0378	18.3458	3.6176	0.44	yes	BK00485BL01-7
ABCA2	20	12010	20.0423	167.5533	69.865	0.9	yes	BK00485BL01-7
ABCA3	21	812	1.7045	11.3283	5.9418	0.5	yes	BK00485BL01-7
ABCA4	24	197	0.3752	2.7484	1.3077	0.35	no	BK00485BL01-7
ABCA5	23461	9304	13.659	129.8015	47.6137	0.86	yes	BK00485BL01-7
ABCA6	23460	29602	77.98	412.982	271.8291	0.98	yes	BK00485BL01-7
ABCA7	10347	1771	3.6233	24.7075	12.6305	0.62	yes	BK00485BL01-7
ABCA8	10351	18511	39.8472	258.2498	138.9027	0.95	yes	BK00485BL01-7
ABCA9	10350	10153	20.032	141.646	69.8291	0.9	yes	BK00485BL01-7
ABCB1	5243	5542	16.3947	77.3173	57.1499	0.88	yes	BK00485BL01-7
ABCB10	23456	1444	5.2231	20.1455	18.2071	0.69	yes	BK00485BL01-7
ABCB11	8647	21652	42.7317	302.0703	148.9577	0.96	yes	BK00485BL01-7
ABCB4	5244	30237	105.7776	421.841	368.7282	0.98	yes	BK00485BL01-7
ABCB5	340273	5	0.009	0.0698	0.0313	0.16	no	BK00485BL01-7
ABCB6	10058	2164	9.5903	30.1903	33.4307	0.8	yes	BK00485BL01-7
ABCB7	22	3317	18.3054	46.276	63.8104	0.89	yes	BK00485BL01-7
ABCB8	11194	1572	4.3061	21.9312	15.0107	0.65	yes	BK00485BL01-7
ABCB9	23457	158	0.5639	2.2043	1.9657	0.39	no	BK00485BL01-7
ABCC1	4363	2787	5.8966	38.8819	20.5547	0.71	yes	BK00485BL01-7
ABCC10	89845	2230	5.168	31.1111	18.0149	0.69	yes	BK00485BL01-7
ABCC11	85320	493	1.3405	6.8779	4.6727	0.48	yes	BK00485BL01-7
ABCC12	94160	3	0.008	0.0419	0.028	0.16	no	BK00485BL01-7
ABCC13	150000	1	0.0047	0.014	0.0165	0.15	no	BK00485BL01-7
ABCC2	1244	28406	78.3659	396.2964	273.1744	0.98	yes	BK00485BL01-7
ABCC3	8714	19636	51.8442	273.9448	180.7228	0.96	yes	BK00485BL01-7
ABCC4	10257	1014	2.2018	14.1465	7.6752	0.54	yes	BK00485BL01-7
ABCC5	10057	2151	3.7596	30.0089	13.1054	0.63	yes	BK00485BL01-7
ABCC6	368	17756	38.9186	247.7166	135.6655	0.95	yes	BK00485BL01-7
ABCC6P1	653190	2592	13.2556	36.1614	46.2076	0.85	yes	BK00485BL01-7
ABCC6P2	730013	117	2.312	1.6323	8.0594	0.55	yes	BK00485BL01-7
ABCC8	6833	9	0.0252	0.1256	0.0879	0.2	no	BK00485BL01-7
ABCC9	10060	9462	13.7908	132.0058	48.0732	0.86	yes	BK00485BL01-7
ABCD1	215	1627	3.0975	22.6985	10.7975	0.6	yes	BK00485BL01-7
ABCD2	225	90	0.2351	1.2556	0.8195	0.32	no	BK00485BL01-7
ABCD3	5825	12406	43.7508	173.078	152.51	0.96	yes	BK00485BL01-7
ABCD4	5826	2620	8.6126	36.552	30.0226	0.78	yes	BK00485BL01-7
ABCE1	6059	3721	12.3777	51.9122	43.1473	0.84	yes	BK00485BL01-7
ABCF1	23	2334	1.3977	32.562	4.8722	0.48	yes	BK00485BL01-7
ABCF2	10061	1082	2.9362	15.0951	10.2353	0.59	yes	BK00485BL01-7
ABCF3	55324	2477	13.2656	34.557	46.2425	0.85	yes	BK00485BL01-7
ABCG1	9619	939	1.2102	13.1001	4.2185	0.46	yes	BK00485BL01-7
ABCG2	9429	3478	9.9248	48.5221	34.5965	0.81	yes	BK00485BL01-7
ABCG4	64137	21	0.0744	0.293	0.2595	0.25	no	BK00485BL01-7
ABCG5	64240	13722	63.7701	191.4377	222.2949	0.97	yes	BK00485BL01-7
ABCG8	64241	17129	79.471	238.9693	277.0266	0.98	yes	BK00485BL01-7
ABHD1	84696	259	2.417	3.6133	8.4252	0.56	yes	BK00485BL01-7
ABHD10	55347	744	3.6991	10.3797	12.8946	0.63	yes	BK00485BL01-7
ABHD11	83451	520	2.2037	7.2546	7.6819	0.54	yes	BK00485BL01-7
ABHD12	26090	1680	8.1751	23.4379	28.4973	0.77	yes	BK00485BL01-7
ABHD12B	145447	0	0	0	0	0	no	BK00485BL01-7
ABHD13	84945	677	1.7814	9.4449	6.2097	0.51	yes	BK00485BL01-7
ABHD14A	25864	527	5.528	7.3523	19.27	0.7	yes	BK00485BL01-7
ABHD14A-ACY1	100526760	0	0	0	0	0	no	BK00485BL01-7
ABHD14B	84836	4545	26.0189	63.408	90.6987	0.93	yes	BK00485BL01-7
ABHD15	116236	970	4.0216	13.5326	14.0188	0.64	yes	BK00485BL01-7
ABHD16A	7920	1739	1.402	24.2611	4.8874	0.48	yes	BK00485BL01-7
ABHD16B	140701	13	0.1021	0.1814	0.356	0.26	no	BK00485BL01-7
ABHD17A	81926	1379	11.2113	19.2386	39.0814	0.83	yes	BK00485BL01-7
ABHD17B	51104	541	2.3152	7.5476	8.0705	0.55	yes	BK00485BL01-7
ABHD17C	58489	690	4.0498	9.6263	14.117	0.64	yes	BK00485BL01-7
ABHD2	11057	22531	34.2001	314.3334	119.2176	0.95	yes	BK00485BL01-7
ABHD3	171586	2144	11.9454	29.9113	41.6402	0.84	yes	BK00485BL01-7
ABHD4	63874	784	4.048	10.9377	14.1109	0.64	yes	BK00485BL01-7
ABHD5	51099	1136	2.9607	15.8485	10.3206	0.59	yes	BK00485BL01-7
ABHD6	57406	1661	9.3101	23.1729	32.4539	0.8	yes	BK00485BL01-7
ABHD8	79575	970	6.4749	13.5326	22.5709	0.73	yes	BK00485BL01-7
ABI1	10006	3557	13.142	49.6242	45.8115	0.85	yes	BK00485BL01-7
ABI2	10152	1496	2.876	20.8709	10.0253	0.58	yes	BK00485BL01-7
ABI3	51225	1444	9.458	20.1455	32.9694	0.8	yes	BK00485BL01-7
ABI3BP	25890	1463	2.6959	20.4105	9.3975	0.57	yes	BK00485BL01-7
ABL1	25	18443	36.942	257.3011	128.7755	0.95	yes	BK00485BL01-7
ABL2	27	1681	1.8541	23.4519	6.463	0.52	yes	BK00485BL01-7
ABLIM1	3983	3632	5.1959	50.6706	18.1124	0.69	yes	BK00485BL01-7
ABLIM2	84448	238	0.6235	3.3204	2.1736	0.39	yes	BK00485BL01-7
ABLIM3	22885	8378	25.4924	116.8827	88.8636	0.92	yes	BK00485BL01-7
ABO	28	616	2.4752	8.5939	8.6283	0.56	yes	BK00485BL01-7
ABR	29	3592	7.6496	50.1125	26.6656	0.76	yes	BK00485BL01-7
ABRA	137735	1	0.0051	0.014	0.0177	0.15	no	BK00485BL01-7
ABRACL	58527	792	13.0761	11.0493	45.5818	0.85	yes	BK00485BL01-7
ABT1	29777	640	1.9719	8.9287	6.8738	0.53	yes	BK00485BL01-7
ABTB1	80325	1562	10.7773	21.7917	37.5684	0.82	yes	BK00485BL01-7
ABTB2	25841	2261	6.4335	31.5436	22.4265	0.73	yes	BK00485BL01-7
ACAA1	30	14450	101.4565	201.5941	353.6656	0.98	yes	BK00485BL01-7
ACAA2	10449	19501	136.783	272.0614	476.8095	0.99	yes	BK00485BL01-7
ACACA	31	9507	11.5797	132.6336	40.3654	0.83	yes	BK00485BL01-7
ACACB	32	35183	51.0073	490.8434	177.8055	0.96	yes	BK00485BL01-7
ACAD10	80724	4912	15.3685	68.5281	53.5727	0.87	yes	BK00485BL01-7
ACAD11	84129	185	0.6918	2.581	2.4114	0.4	yes	BK00485BL01-7
ACAD8	27034	1764	6.5295	24.6098	22.7612	0.73	yes	BK00485BL01-7
ACAD9	28976	2594	13.155	36.1893	45.8566	0.85	yes	BK00485BL01-7
ACADL	33	1499	6.2914	20.9128	21.9313	0.72	yes	BK00485BL01-7
ACADM	34	12483	66.4957	174.1522	231.7962	0.97	yes	BK00485BL01-7
ACADS	35	5276	35.3197	73.6063	123.1204	0.95	yes	BK00485BL01-7
ACADSB	36	28310	66.4799	394.9571	231.7411	0.97	yes	BK00485BL01-7
ACADVL	37	54976	260.3457	766.9785	907.5346	0.99	yes	BK00485BL01-7
ACAN	176	72	0.1136	1.0045	0.3961	0.27	no	BK00485BL01-7
ACAP1	9744	349	1.9383	4.869	6.7566	0.52	yes	BK00485BL01-7
ACAP2	23527	2490	4.775	34.7384	16.6452	0.67	yes	BK00485BL01-7
ACAP3	116983	2985	10.4345	41.6442	36.3735	0.82	yes	BK00485BL01-7
ACAT1	38	24053	156.9537	335.567	547.1222	0.99	yes	BK00485BL01-7
ACAT2	39	4951	37.3969	69.0722	130.3613	0.95	yes	BK00485BL01-7
ACBD3	64746	2910	11.3879	40.5979	39.6969	0.83	yes	BK00485BL01-7
ACBD4	79777	4080	20.5936	56.9207	71.7869	0.91	yes	BK00485BL01-7
ACBD5	91452	4941	16.2004	68.9326	56.4726	0.88	yes	BK00485BL01-7
ACBD6	84320	877	7.5713	12.2352	26.3925	0.76	yes	BK00485BL01-7
ACBD7	414149	15	0.0499	0.2093	0.1738	0.23	no	BK00485BL01-7
ACCS	84680	1856	8.2832	25.8933	28.8743	0.78	yes	BK00485BL01-7
ACCSL	390110	1	0.0075	0.014	0.026	0.16	no	BK00485BL01-7
ACD	65057	403	2.7214	5.6223	9.4863	0.58	yes	BK00485BL01-7
ACE	1636	1503	4.0177	20.9686	14.0054	0.64	yes	BK00485BL01-7
ACE2	59272	265	1.0542	3.6971	3.6748	0.45	yes	BK00485BL01-7
ACER1	125981	7	0.0898	0.0977	0.3129	0.26	no	BK00485BL01-7
ACER2	340485	428	1.6896	5.9711	5.8898	0.5	yes	BK00485BL01-7
ACER3	55331	479	0.7814	6.6826	2.7239	0.41	yes	BK00485BL01-7
ACHE	43	238	1.094	3.3204	3.8137	0.45	yes	BK00485BL01-7
ACIN1	22985	9241	17.0307	128.9226	59.3671	0.89	yes	BK00485BL01-7
ACKR1	2532	103	0.6502	1.437	2.2666	0.4	yes	BK00485BL01-7
ACKR2	1238	675	2.7559	9.417	9.6069	0.58	yes	BK00485BL01-7
ACKR3	57007	414	2.5433	5.7758	8.8656	0.56	yes	BK00485BL01-7
ACKR4	51554	21	0.1129	0.293	0.3936	0.27	no	BK00485BL01-7
ACLY	47	5083	7.7603	70.9137	27.0515	0.76	yes	BK00485BL01-7
ACMSD	130013	4970	42.2788	69.3372	147.3789	0.96	yes	BK00485BL01-7
SDHAF3	57001	489	3.3165	6.8221	11.5611	0.61	yes	BK00485BL01-7
ACO1	48	11952	45.3479	166.7442	158.0774	0.96	yes	BK00485BL01-7
ACO2	50	8344	42.0095	116.4084	146.4403	0.96	yes	BK00485BL01-7
ACOT1	641371	1215	10.1258	16.9506	35.2975	0.81	yes	BK00485BL01-7
ACOT11	26027	479	1.2918	6.6826	4.5031	0.47	yes	BK00485BL01-7
ACOT12	134526	11860	75.0388	165.4607	261.5766	0.98	yes	BK00485BL01-7
ACOT13	55856	1317	4.1806	18.3737	14.573	0.65	yes	BK00485BL01-7
ACOT2	10965	4136	25.2084	57.702	87.8734	0.92	yes	BK00485BL01-7
ACOT4	122970	462	3.9494	6.4454	13.7672	0.64	yes	BK00485BL01-7
ACOT6	641372	15	0.2084	0.2093	0.7266	0.31	no	BK00485BL01-7
ACOT7	11332	930	3.9934	12.9746	13.9205	0.64	yes	BK00485BL01-7
ACOT8	10005	851	4.3553	11.8724	15.1819	0.66	yes	BK00485BL01-7
ACOT9	23597	1123	5.2328	15.6671	18.2411	0.69	yes	BK00485BL01-7
ACOX1	51	21643	38.1243	301.9448	132.897	0.95	yes	BK00485BL01-7
ACOX2	8309	16894	96.6738	235.6908	336.9936	0.98	yes	BK00485BL01-7
ACOX3	8310	1262	5.8571	17.6064	20.4171	0.71	yes	BK00485BL01-7
ACOXL	55289	11	0.0647	0.1535	0.2254	0.24	no	BK00485BL01-7
ACP1	52	1390	10.2985	19.3921	35.8994	0.81	yes	BK00485BL01-7
ACP2	53	3220	17.4525	44.9227	60.8373	0.89	yes	BK00485BL01-7
ACP5	54	1389	9.8068	19.3781	34.1852	0.81	yes	BK00485BL01-7
ACP6	51205	1047	3.8745	14.6069	13.506	0.63	yes	BK00485BL01-7
ACPP	55	43	0.1571	0.5999	0.5477	0.29	no	BK00485BL01-7
ACP4	93650	1	0.0104	0.014	0.0361	0.17	no	BK00485BL01-7
ACR	49	53	0.5397	0.7394	1.8814	0.38	no	BK00485BL01-7
ACRBP	84519	180	1.2481	2.5112	4.3508	0.47	yes	BK00485BL01-7
GCNA	93953	805	3.4889	11.2307	12.1618	0.62	yes	BK00485BL01-7
ACRV1	56	1	0.0117	0.014	0.0408	0.17	no	BK00485BL01-7
ACSBG1	23205	4	0.0187	0.0558	0.0653	0.19	no	BK00485BL01-7
ACSBG2	81616	4	0.0201	0.0558	0.07	0.19	no	BK00485BL01-7
ACSF2	80221	2125	12.8117	29.6462	44.66	0.85	yes	BK00485BL01-7
ACSF3	197322	2229	6.8586	31.0971	23.9084	0.74	yes	BK00485BL01-7
ACSL1	2180	50180	156.8957	700.0688	546.9201	0.99	yes	BK00485BL01-7
ACSL3	2181	5107	16.3377	71.2485	56.9512	0.88	yes	BK00485BL01-7
ACSL4	2182	3611	9.4429	50.3776	32.9167	0.8	yes	BK00485BL01-7
ACSL5	51703	8127	28.2394	113.381	98.4391	0.93	yes	BK00485BL01-7
ACSL6	23305	178	0.3088	2.4833	1.0765	0.33	no	BK00485BL01-7
ACSM1	116285	165	1.0637	2.3019	3.7081	0.45	yes	BK00485BL01-7
