Gene Symbol	NCBI Gene ID	RNA-Seq Raw Counts	FPKM	CPM	TPM	Percentile Rank	Is Expressed	sample
A1BG	1	438	3.08	5.7073	10.8037	0.57	yes	BK00385TS01
A1BG-AS1	503538	40	0.2447	0.5212	0.8583	0.32	no	BK00385TS01
A1CF	29974	3527	4.823	45.9584	16.9173	0.65	yes	BK00385TS01
A2M	2	14868	41.6369	193.7365	146.0467	0.95	yes	BK00385TS01
A2M-AS1	144571	12	0.0715	0.1564	0.2508	0.25	no	BK00385TS01
A2ML1	144568	0	0	0	0	0	no	BK00385TS01
A3GALT2	127550	41	0.5222	0.5342	1.8318	0.38	no	BK00385TS01
A4GALT	53947	785	3.3626	10.2289	11.7946	0.59	yes	BK00385TS01
A4GNT	51146	0	0	0	0	0	no	BK00385TS01
AAAS	8086	1636	11.6047	21.3178	40.7049	0.81	yes	BK00385TS01
AACS	65985	2137	8.3647	27.846	29.3402	0.75	yes	BK00385TS01
AADAC	13	129	0.9899	1.6809	3.4724	0.43	yes	BK00385TS01
AADACL2	344752	0	0	0	0	0	no	BK00385TS01
AADACL3	126767	0	0	0	0	0	no	BK00385TS01
AADACL4	343066	2	0.0165	0.0261	0.058	0.19	no	BK00385TS01
AADAT	51166	75	0.3484	0.9773	1.2221	0.35	no	BK00385TS01
PRXL2C	195827	216	1.7027	2.8146	5.9725	0.49	yes	BK00385TS01
AAGAB	79719	2375	8.8194	30.9473	30.9352	0.76	yes	BK00385TS01
AAK1	22848	3523	2.1048	45.9062	7.3829	0.52	yes	BK00385TS01
AAMDC	28971	183	3.9285	2.3846	13.7795	0.61	yes	BK00385TS01
AAMP	14	4301	31.2049	56.0439	109.4549	0.93	yes	BK00385TS01
AANAT	15	3	0.0187	0.0391	0.0655	0.19	no	BK00385TS01
AAR2	25980	897	3.9236	11.6883	13.7624	0.61	yes	BK00385TS01
AARD	441376	2	0.0146	0.0261	0.0512	0.18	no	BK00385TS01
AARS	16	9107	34.2675	118.6682	120.1974	0.94	yes	BK00385TS01
AARS2	57505	2518	6.8171	32.8106	23.9118	0.71	yes	BK00385TS01
AARSD1	80755	6	0.0573	0.0782	0.2011	0.24	no	BK00385TS01
AASDH	132949	1373	4.2047	17.8908	14.7483	0.62	yes	BK00385TS01
AASDHPPT	60496	968	4.4088	12.6135	15.4643	0.63	yes	BK00385TS01
AASS	10157	1794	3.7242	23.3766	13.063	0.6	yes	BK00385TS01
AATF	26574	1522	9.2631	19.8323	32.4915	0.77	yes	BK00385TS01
AATK	9625	867	1.1471	11.2974	4.0235	0.45	yes	BK00385TS01
PVALEF	388428	0	0	0	0	0	no	BK00385TS01
ABAT	18	1184	2.5688	15.428	9.0103	0.55	yes	BK00385TS01
ABCA1	19	5525	6.4406	71.9932	22.5913	0.7	yes	BK00385TS01
ABCA10	10349	2189	4.3395	28.5236	15.2214	0.63	yes	BK00385TS01
ABCA11P	79963	647	2.2245	8.4307	7.8026	0.53	yes	BK00385TS01
ABCA12	26154	52	0.0723	0.6776	0.2537	0.25	no	BK00385TS01
ABCA13	154664	215	0.1585	2.8015	0.5559	0.29	no	BK00385TS01
