Gene Symbol	NCBI Gene ID	RNA-Seq Raw Counts	FPKM	CPM	TPM	Percentile Rank	Is Expressed	sample
A1BG	1	37644	266.2788	493.4146	930.7772	0.99	yes	BK00419BL01-4
A1BG-AS1	503538	212	1.3046	2.7788	4.5602	0.44	yes	BK00419BL01-4
A1CF	29974	16327	22.4582	214.0043	78.5027	0.91	yes	BK00419BL01-4
A2M	2	189184	532.9268	2479.7083	1862.8451	1	yes	BK00419BL01-4
A2M-AS1	144571	46	0.2757	0.6029	0.9637	0.3	no	BK00419BL01-4
A2ML1	144568	113	0.2718	1.4811	0.95	0.3	no	BK00419BL01-4
A3GALT2	127550	36	0.4613	0.4719	1.6123	0.34	no	BK00419BL01-4
A4GALT	53947	877	3.7788	11.4952	13.2089	0.59	yes	BK00419BL01-4
A4GNT	51146	6	0.0444	0.0786	0.1552	0.2	no	BK00419BL01-4
AAAS	8086	1419	10.1249	18.5994	35.3915	0.78	yes	BK00419BL01-4
AACS	65985	897	3.5318	11.7573	12.3454	0.58	yes	BK00419BL01-4
AADAC	13	9182	70.8787	120.352	247.7565	0.98	yes	BK00419BL01-4
AADACL2	344752	0	0	0	0	0	no	BK00419BL01-4
AADACL3	126767	0	0	0	0	0	no	BK00419BL01-4
AADACL4	343066	0	0	0	0	0	no	BK00419BL01-4
AADAT	51166	2674	12.4952	35.0492	43.6771	0.82	yes	BK00419BL01-4
PRXL2C	195827	639	5.0669	8.3756	17.7114	0.64	yes	BK00419BL01-4
AAGAB	79719	1489	5.562	19.5169	19.4418	0.66	yes	BK00419BL01-4
AAK1	22848	6134	3.6864	80.4007	12.8859	0.58	yes	BK00419BL01-4
AAMDC	28971	301	6.4997	3.9453	22.7197	0.69	yes	BK00419BL01-4
AAMP	14	3297	24.0618	43.2151	84.1081	0.92	yes	BK00419BL01-4
AANAT	15	2	0.0125	0.0262	0.0438	0.15	no	BK00419BL01-4
AAR2	25980	670	2.948	8.782	10.3046	0.55	yes	BK00419BL01-4
AARD	441376	1	0.0073	0.0131	0.0257	0.14	no	BK00419BL01-4
AARS	16	7150	27.0626	93.7178	94.5973	0.93	yes	BK00419BL01-4
AARS2	57505	1814	4.9401	23.7768	17.2682	0.64	yes	BK00419BL01-4
AARSD1	80755	4	0.0384	0.0524	0.1344	0.19	no	BK00419BL01-4
AASDH	132949	1734	5.3415	22.7282	18.6713	0.65	yes	BK00419BL01-4
AASDHPPT	60496	889	4.0729	11.6525	14.2367	0.6	yes	BK00419BL01-4
AASS	10157	10392	21.7002	136.212	75.8529	0.9	yes	BK00419BL01-4
AATF	26574	1975	12.0911	25.8871	42.2645	0.82	yes	BK00419BL01-4
AATK	9625	1055	1.404	13.8283	4.9078	0.44	yes	BK00419BL01-4
PVALEF	388428	1	0.0083	0.0131	0.0291	0.14	no	BK00419BL01-4
ABAT	18	10409	22.7164	136.4348	79.4052	0.91	yes	BK00419BL01-4
ABCA1	19	23615	27.6911	309.531	96.7942	0.93	yes	BK00419BL01-4
ABCA10	10349	3300	6.5806	43.2544	23.0025	0.7	yes	BK00419BL01-4
ABCA11P	79963	502	1.7361	6.5799	6.0686	0.47	yes	BK00419BL01-4
ABCA12	26154	73	0.1021	0.9568	0.357	0.24	no	BK00419BL01-4
ABCA13	154664	1262	0.9357	16.5415	3.2708	0.4	yes	BK00419BL01-4
ABCA2	20	11357	17.8063	148.8606	62.2419	0.88	yes	BK00419BL01-4
ABCA3	21	894	1.7632	11.718	6.1631	0.47	yes	BK00419BL01-4
ABCA4	24	153	0.2737	2.0054	0.9569	0.3	no	BK00419BL01-4
ABCA5	23461	10037	13.8439	131.5589	48.3914	0.84	yes	BK00419BL01-4
ABCA6	23460	22702	56.1865	297.5639	196.4	0.97	yes	BK00419BL01-4
ABCA7	10347	3397	6.5297	44.5258	22.8244	0.69	yes	BK00419BL01-4
ABCA8	10351	13174	26.6435	172.6767	93.1325	0.93	yes	BK00419BL01-4
ABCA9	10350	9055	16.7851	118.6874	58.6723	0.87	yes	BK00419BL01-4
ABCB1	5243	4757	13.2213	62.3518	46.2152	0.83	yes	BK00419BL01-4
ABCB10	23456	1494	5.0771	19.5824	17.7471	0.64	yes	BK00419BL01-4
ABCB11	8647	14466	26.823	189.6115	93.7596	0.93	yes	BK00419BL01-4
ABCB4	5244	8934	29.3634	117.1014	102.6399	0.93	yes	BK00419BL01-4
ABCB5	340273	17	0.0287	0.2228	0.1003	0.18	no	BK00419BL01-4
ABCB6	10058	1626	6.7702	21.3126	23.6653	0.7	yes	BK00419BL01-4
ABCB7	22	3098	16.0628	40.6067	56.1474	0.87	yes	BK00419BL01-4
ABCB8	11194	1662	4.2773	21.7845	14.9514	0.61	yes	BK00419BL01-4
ABCB9	23457	231	0.7746	3.0278	2.7075	0.38	yes	BK00419BL01-4
ABCC1	4363	6181	12.2864	81.0168	42.9472	0.82	yes	BK00419BL01-4
ABCC10	89845	4356	9.4843	57.0958	33.1525	0.77	yes	BK00419BL01-4
ABCC11	85320	367	0.9375	4.8104	3.2771	0.4	yes	BK00419BL01-4
ABCC12	94160	0	0	0	0	0	no	BK00419BL01-4
ABCC13	150000	20	0.0888	0.2621	0.3103	0.23	no	BK00419BL01-4
ABCC2	1244	19218	49.8117	251.8978	174.1168	0.96	yes	BK00419BL01-4
ABCC3	8714	34961	86.7236	458.2474	303.1422	0.98	yes	BK00419BL01-4
ABCC4	10257	1448	2.954	18.9795	10.3257	0.55	yes	BK00419BL01-4
ABCC5	10057	4209	6.9117	55.169	24.1598	0.71	yes	BK00419BL01-4
ABCC6	368	13842	28.5047	181.4325	99.6382	0.93	yes	BK00419BL01-4
ABCC6P1	653190	1650	7.9279	21.6272	27.7118	0.74	yes	BK00419BL01-4
ABCC6P2	730013	79	1.4667	1.0355	5.1268	0.45	yes	BK00419BL01-4
ABCC8	6833	39	0.1026	0.5112	0.3587	0.24	no	BK00419BL01-4
ABCC9	10060	6401	8.7652	83.9004	30.6387	0.76	yes	BK00419BL01-4
ABCD1	215	1706	3.0515	22.3612	10.6664	0.55	yes	BK00419BL01-4
ABCD2	225	87	0.2135	1.1403	0.7463	0.28	no	BK00419BL01-4
ABCD3	5825	7963	26.3838	104.3741	92.2244	0.92	yes	BK00419BL01-4
ABCD4	5826	3372	10.4143	44.1981	36.403	0.79	yes	BK00419BL01-4
ABCE1	6059	4176	13.0511	54.7365	45.6202	0.83	yes	BK00419BL01-4
ABCF1	23	3574	2.0108	46.8458	7.0288	0.49	yes	BK00419BL01-4
ABCF2	10061	1614	4.115	21.1553	14.3841	0.6	yes	BK00419BL01-4
ABCF3	55324	3031	15.2509	39.7285	53.3094	0.86	yes	BK00419BL01-4
ABCG1	9619	1967	2.3817	25.7822	8.3253	0.51	yes	BK00419BL01-4
ABCG2	9429	1681	4.5068	22.0335	15.7534	0.62	yes	BK00419BL01-4
ABCG4	64137	38	0.1265	0.4981	0.4423	0.25	no	BK00419BL01-4
ABCG5	64240	5029	21.9577	65.9171	76.7532	0.91	yes	BK00419BL01-4
ABCG8	64241	6272	27.3394	82.2095	95.5648	0.93	yes	BK00419BL01-4
ABHD1	84696	105	0.9206	1.3763	3.2179	0.4	yes	BK00419BL01-4
ABHD10	55347	697	3.2558	9.1359	11.3807	0.56	yes	BK00419BL01-4
ABHD11	83451	683	2.7194	8.9523	9.5057	0.53	yes	BK00419BL01-4
ABHD12	26090	2064	9.4362	27.0537	32.9843	0.77	yes	BK00419BL01-4
ABHD12B	145447	3	0.0098	0.0393	0.0343	0.15	no	BK00419BL01-4
ABHD13	84945	1009	2.4944	13.2254	8.7192	0.52	yes	BK00419BL01-4
ABHD14A	25864	424	4.1786	5.5575	14.6063	0.61	yes	BK00419BL01-4
ABHD14A-ACY1	100526760	0	0	0	0	0	no	BK00419BL01-4
ABHD14B	84836	3530	18.9861	46.2691	66.3658	0.89	yes	BK00419BL01-4
ABHD15	116236	1127	4.3899	14.772	15.3449	0.61	yes	BK00419BL01-4
ABHD16A	7920	2113	1.6005	27.6959	5.5947	0.46	yes	BK00419BL01-4
ABHD16B	140701	25	0.1845	0.3277	0.6449	0.27	no	BK00419BL01-4
ABHD17A	81926	1632	12.4658	21.3913	43.5741	0.82	yes	BK00419BL01-4
ABHD17B	51104	736	2.9592	9.647	10.3439	0.55	yes	BK00419BL01-4
ABHD17C	58489	1721	9.49	22.5578	33.1724	0.77	yes	BK00419BL01-4
ABHD2	11057	23470	33.4708	307.6304	116.9973	0.94	yes	BK00419BL01-4
ABHD3	171586	2412	12.6258	31.615	44.1335	0.83	yes	BK00419BL01-4
ABHD4	63874	924	4.4823	12.1112	15.6679	0.62	yes	BK00419BL01-4
ABHD5	51099	1070	2.62	14.0249	9.1582	0.53	yes	BK00419BL01-4
ABHD6	57406	1291	6.7986	16.9216	23.7644	0.7	yes	BK00419BL01-4
ABHD8	79575	765	4.7977	10.0272	16.7703	0.63	yes	BK00419BL01-4
ABI1	10006	4986	17.3076	65.3534	60.4986	0.88	yes	BK00419BL01-4
ABI2	10152	2357	4.2571	30.8941	14.8809	0.61	yes	BK00419BL01-4
ABI3	51225	1655	10.1844	21.6927	35.5995	0.79	yes	BK00419BL01-4
ABI3BP	25890	1409	2.4393	18.4683	8.5267	0.52	yes	BK00419BL01-4
ABL1	25	24665	46.4169	323.2938	162.2503	0.96	yes	BK00419BL01-4
ABL2	27	2807	2.9087	36.7924	10.1674	0.54	yes	BK00419BL01-4
ABLIM1	3983	4572	6.1451	59.927	21.4802	0.68	yes	BK00419BL01-4
ABLIM2	84448	2316	5.7008	30.3567	19.9271	0.67	yes	BK00419BL01-4
ABLIM3	22885	8870	25.3572	116.2625	88.6359	0.92	yes	BK00419BL01-4
ABO	28	4356	16.4446	57.0958	57.4822	0.87	yes	BK00419BL01-4
ABR	29	9873	19.7541	129.4093	69.0505	0.89	yes	BK00419BL01-4
ABRA	137735	1	0.0048	0.0131	0.0166	0.13	no	BK00419BL01-4
ABRACL	58527	1042	16.1632	13.6579	56.4984	0.87	yes	BK00419BL01-4
ABT1	29777	1185	3.4303	15.5323	11.9905	0.57	yes	BK00419BL01-4
ABTB1	80325	3098	20.0824	40.6067	70.1981	0.9	yes	BK00419BL01-4
ABTB2	25841	3314	8.8595	43.4379	30.9682	0.76	yes	BK00419BL01-4
ACAA1	30	11123	73.3737	145.7935	256.4776	0.98	yes	BK00419BL01-4
ACAA2	10449	10186	67.1251	133.5119	234.6358	0.97	yes	BK00419BL01-4
ACACA	31	7978	9.1296	104.5707	31.9126	0.76	yes	BK00419BL01-4
ACACB	32	31957	43.5283	418.8728	152.1531	0.96	yes	BK00419BL01-4
ACAD10	80724	4605	13.5366	60.3595	47.317	0.84	yes	BK00419BL01-4
ACAD11	84129	185	0.6499	2.4249	2.2718	0.37	yes	BK00419BL01-4
ACAD8	27034	1994	6.9345	26.1361	24.2395	0.71	yes	BK00419BL01-4
ACAD9	28976	3090	14.7226	40.5018	51.4628	0.85	yes	BK00419BL01-4
ACADL	33	1404	5.5363	18.4028	19.3523	0.66	yes	BK00419BL01-4
ACADM	34	4887	24.4581	64.0558	85.4933	0.92	yes	BK00419BL01-4
ACADS	35	3235	20.3466	42.4024	71.1217	0.9	yes	BK00419BL01-4
ACADSB	36	20718	45.7093	271.5589	159.7768	0.96	yes	BK00419BL01-4
ACADVL	37	27066	120.4225	354.7646	420.9366	0.99	yes	BK00419BL01-4
ACAN	176	98	0.1453	1.2845	0.5079	0.26	no	BK00419BL01-4
ACAP1	9744	370	1.9306	4.8497	6.7485	0.48	yes	BK00419BL01-4
ACAP2	23527	3451	6.2177	45.2336	21.7339	0.69	yes	BK00419BL01-4
ACAP3	116983	3785	12.4308	49.6115	43.452	0.82	yes	BK00419BL01-4
ACAT1	38	12389	75.953	162.3874	265.4935	0.98	yes	BK00419BL01-4
ACAT2	39	2933	20.8143	38.444	72.7563	0.9	yes	BK00419BL01-4
ACBD3	64746	3930	14.4494	51.512	50.5078	0.85	yes	BK00419BL01-4
ACBD4	79777	2657	12.6	34.8263	44.0432	0.83	yes	BK00419BL01-4
ACBD5	91452	4069	12.5344	53.334	43.8141	0.82	yes	BK00419BL01-4
ACBD6	84320	1155	9.3682	15.139	32.7466	0.77	yes	BK00419BL01-4
ACBD7	414149	29	0.0906	0.3801	0.3166	0.23	no	BK00419BL01-4
ACCS	84680	1749	7.3336	22.9248	25.6346	0.72	yes	BK00419BL01-4
ACCSL	390110	1	0.007	0.0131	0.0245	0.14	no	BK00419BL01-4
ACD	65057	691	4.3839	9.0572	15.324	0.61	yes	BK00419BL01-4
ACE	1636	2681	6.7333	35.1409	23.5361	0.7	yes	BK00419BL01-4
ACE2	59272	442	1.652	5.7935	5.7745	0.46	yes	BK00419BL01-4
ACER1	125981	19	0.2289	0.249	0.8001	0.29	no	BK00419BL01-4
ACER2	340485	779	2.8893	10.2107	10.0994	0.54	yes	BK00419BL01-4
ACER3	55331	799	1.2246	10.4728	4.2806	0.43	yes	BK00419BL01-4
ACHE	43	425	1.8355	5.5706	6.4159	0.48	yes	BK00419BL01-4
ACIN1	22985	13403	23.2072	175.6783	81.1207	0.91	yes	BK00419BL01-4
ACKR1	2532	133	0.7888	1.7433	2.7573	0.38	yes	BK00419BL01-4
ACKR2	1238	624	2.3936	8.179	8.3669	0.51	yes	BK00419BL01-4
ACKR3	57007	555	3.2033	7.2746	11.197	0.56	yes	BK00419BL01-4
ACKR4	51554	56	0.2829	0.734	0.9887	0.3	no	BK00419BL01-4
ACLY	47	7225	10.3634	94.7009	36.2253	0.79	yes	BK00419BL01-4
ACMSD	130013	5750	45.9558	75.3675	160.6384	0.96	yes	BK00419BL01-4
SDHAF3	57001	414	2.638	5.4265	9.2213	0.53	yes	BK00419BL01-4
ACO1	48	9083	32.3781	119.0544	113.1778	0.94	yes	BK00419BL01-4
ACO2	50	7683	36.3421	100.7041	127.0339	0.95	yes	BK00419BL01-4
ACOT1	641371	329	2.5761	4.3123	9.0046	0.52	yes	BK00419BL01-4
ACOT11	26027	4487	11.3692	58.8129	39.741	0.81	yes	BK00419BL01-4
ACOT12	134526	2522	14.9918	33.0568	52.4037	0.86	yes	BK00419BL01-4
ACOT13	55856	1197	3.5699	15.6895	12.4785	0.58	yes	BK00419BL01-4
ACOT2	10965	2255	12.9127	29.5572	45.1363	0.83	yes	BK00419BL01-4
ACOT4	122970	247	1.9838	3.2375	6.9343	0.48	yes	BK00419BL01-4
ACOT6	641372	19	0.248	0.249	0.8671	0.29	no	BK00419BL01-4
ACOT7	11332	1141	4.6031	14.9555	16.0902	0.62	yes	BK00419BL01-4
ACOT8	10005	822	3.9524	10.7743	13.8157	0.6	yes	BK00419BL01-4
ACOT9	23597	2155	9.4343	28.2464	32.9777	0.77	yes	BK00419BL01-4
ACOX1	51	14523	24.0352	190.3586	84.0149	0.92	yes	BK00419BL01-4
ACOX2	8309	14716	79.1174	192.8883	276.555	0.98	yes	BK00419BL01-4
ACOX3	8310	1425	6.2136	18.678	21.7196	0.68	yes	BK00419BL01-4
ACOXL	55289	27	0.1491	0.3539	0.5213	0.26	no	BK00419BL01-4
ACP1	52	1573	10.9495	20.6179	38.274	0.8	yes	BK00419BL01-4
ACP2	53	3268	16.6414	42.8349	58.17	0.87	yes	BK00419BL01-4
ACP5	54	2786	18.4804	36.5172	64.5981	0.88	yes	BK00419BL01-4
ACP6	51205	1402	4.8744	18.3766	17.0385	0.64	yes	BK00419BL01-4
ACPP	55	71	0.2437	0.9306	0.852	0.29	no	BK00419BL01-4
ACP4	93650	0	0	0	0	0	no	BK00419BL01-4
ACR	49	42	0.4018	0.5505	1.4046	0.32	no	BK00419BL01-4
ACRBP	84519	193	1.2573	2.5297	4.395	0.43	yes	BK00419BL01-4
GCNA	93953	793	3.229	10.3942	11.287	0.56	yes	BK00419BL01-4
ACRV1	56	7	0.077	0.0918	0.2693	0.22	no	BK00419BL01-4
ACSBG1	23205	3	0.0132	0.0393	0.0461	0.16	no	BK00419BL01-4
ACSBG2	81616	1	0.0047	0.0131	0.0165	0.13	no	BK00419BL01-4
ACSF2	80221	1685	9.5445	22.086	33.3628	0.77	yes	BK00419BL01-4
ACSF3	197322	2696	7.7939	35.3375	27.2436	0.73	yes	BK00419BL01-4
ACSL1	2180	30027	88.2061	393.5756	308.3243	0.98	yes	BK00419BL01-4
ACSL3	2181	5341	16.0529	70.0066	56.1128	0.87	yes	BK00419BL01-4
ACSL4	2182	3110	7.6409	40.764	26.7086	0.73	yes	BK00419BL01-4
ACSL5	51703	9578	31.2684	125.5426	109.2986	0.94	yes	BK00419BL01-4
ACSL6	23305	85	0.1386	1.1141	0.4843	0.25	no	BK00419BL01-4
ACSM1	116285	726	4.3974	9.516	15.3711	0.61	yes	BK00419BL01-4
ACSM2A	123876	25909	87.9108	339.5993	307.2921	0.98	yes	BK00419BL01-4
ACSM2B	348158	22722	109.0938	297.8261	381.3373	0.98	yes	BK00419BL01-4
ACSM3	6296	4477	21.8391	58.6818	76.3387	0.9	yes	BK00419BL01-4
ACSM4	341392	1	0.0075	0.0131	0.0263	0.14	no	BK00419BL01-4
ACSM5	54988	9651	51.9718	126.4994	181.6675	0.97	yes	BK00419BL01-4
ACSM6	142827	6	0.0459	0.0786	0.1605	0.2	no	BK00419BL01-4
ACSS1	84532	1084	3.5344	14.2084	12.3546	0.58	yes	BK00419BL01-4
ACSS2	55902	3785	15.2089	49.6115	53.1627	0.86	yes	BK00419BL01-4
ACSS3	79611	2686	8.7318	35.2064	30.5219	0.76	yes	BK00419BL01-4
ACTA1	58	264	2.2947	3.4604	8.021	0.51	yes	BK00419BL01-4
ACTA2	59	29915	211.8355	392.1075	740.4709	0.99	yes	BK00419BL01-4
ACTA2-AS1	100132116	45	0.6532	0.5898	2.2832	0.37	yes	BK00419BL01-4
ACTB	60	162890	1110.277	2135.0626	3880.9722	1	yes	BK00419BL01-4
ACTBL2	345651	25	0.1173	0.3277	0.41	0.25	no	BK00419BL01-4
ACTC1	70	10	0.0355	0.1311	0.1241	0.19	no	BK00419BL01-4
ACTG1	71	92932	289.3339	1218.0959	1011.3665	0.99	yes	BK00419BL01-4
ACTG2	72	1535	15.1163	20.1198	52.8391	0.86	yes	BK00419BL01-4
ACTL10	170487	66	0.4266	0.8651	1.4911	0.33	no	BK00419BL01-4
ACTL6A	86	1510	10.3841	19.7922	36.2977	0.79	yes	BK00419BL01-4
ACTL6B	51412	2	0.0169	0.0262	0.059	0.16	no	BK00419BL01-4
ACTL7A	10881	0	0	0	0	0	no	BK00419BL01-4
ACTL7B	10880	8	0.0745	0.1049	0.2603	0.22	no	BK00419BL01-4
ACTL8	81569	2	0.0141	0.0262	0.0492	0.16	no	BK00419BL01-4
ACTL9	284382	0	0	0	0	0	no	BK00419BL01-4
ACTN1	87	39792	118.7003	521.5692	414.9169	0.99	yes	BK00419BL01-4
ACTN2	88	56	0.1435	0.734	0.5017	0.26	no	BK00419BL01-4
ACTN3	89	3	0.0134	0.0393	0.0468	0.16	no	BK00419BL01-4
ACTN4	81	47468	145.3016	622.1815	507.9017	0.99	yes	BK00419BL01-4
ACTR10	55860	2142	11.4971	28.076	40.1883	0.81	yes	BK00419BL01-4
ACTR1A	10121	2055	9.1587	26.9357	32.0142	0.76	yes	BK00419BL01-4
ACTR1B	10120	3005	17.4436	39.3877	60.9742	0.88	yes	BK00419BL01-4
ACTR2	10097	12861	42.028	168.5741	146.9087	0.96	yes	BK00419BL01-4
ACTR3	10096	12556	27.9749	164.5764	97.7863	0.93	yes	BK00419BL01-4
ACTR3B	57180	872	5.1555	11.4296	18.0209	0.65	yes	BK00419BL01-4
ACTR3C	653857	1956	14.8713	25.6381	51.9825	0.85	yes	BK00419BL01-4
ACTR5	79913	647	3.268	8.4805	11.4233	0.56	yes	BK00419BL01-4
ACTR6	64431	796	3.9838	10.4335	13.9252	0.6	yes	BK00419BL01-4
ACTR8	93973	1802	6.3545	23.6195	22.212	0.69	yes	BK00419BL01-4
ACTRT1	139741	2	0.0182	0.0262	0.0635	0.17	no	BK00419BL01-4
ACTRT2	140625	0	0	0	0	0	no	BK00419BL01-4
ACTRT3	84517	103	0.6733	1.3501	2.3537	0.37	yes	BK00419BL01-4
ACVR1	90	3452	13.6367	45.2467	47.6672	0.84	yes	BK00419BL01-4
ACVR1B	91	1922	5.2408	25.1924	18.3191	0.65	yes	BK00419BL01-4
ACVR1C	130399	232	0.335	3.0409	1.171	0.31	no	BK00419BL01-4
ACVR2A	92	2575	5.9896	33.7515	20.9367	0.68	yes	BK00419BL01-4
ACVR2B	93	1113	1.2697	14.5885	4.4381	0.43	yes	BK00419BL01-4
ACVRL1	94	1118	3.2385	14.6541	11.3201	0.56	yes	BK00419BL01-4
ACY1	95	6	0.0469	0.0786	0.1638	0.2	no	BK00419BL01-4
ACY3	91703	684	6.8965	8.9655	24.1067	0.71	yes	BK00419BL01-4
ACYP1	97	645	8.8157	8.4543	30.8153	0.76	yes	BK00419BL01-4
ACYP2	98	394	4.2192	5.1643	14.7482	0.61	yes	BK00419BL01-4
ADA	100	468	3.8077	6.1343	13.3099	0.59	yes	BK00419BL01-4
ADAD1	132612	0	0	0	0	0	no	BK00419BL01-4
ADAD2	161931	8	0.0455	0.1049	0.1591	0.2	no	BK00419BL01-4
ADAL	161823	786	2.5964	10.3024	9.0756	0.53	yes	BK00419BL01-4
ADAM10	102	12168	31.6827	159.4907	110.7469	0.94	yes	BK00419BL01-4
ADAM11	4185	75	0.1881	0.9831	0.6574	0.27	no	BK00419BL01-4
ADAM12	8038	680	0.9981	8.913	3.4889	0.41	yes	BK00419BL01-4
ADAM15	8751	5282	20.22	69.2332	70.6789	0.9	yes	BK00419BL01-4
ADAM17	6868	4441	16.2962	58.2099	56.9632	0.87	yes	BK00419BL01-4
ADAM18	8749	1	0.004	0.0131	0.014	0.13	no	BK00419BL01-4
ADAM19	8728	3504	6.1931	45.9283	21.6481	0.68	yes	BK00419BL01-4
ADAM1A	8759	453	2.0907	5.9376	7.3081	0.49	yes	BK00419BL01-4
ADAM2	2515	9	0.0441	0.118	0.1543	0.2	no	BK00419BL01-4
ADAM20	8748	622	2.5367	8.1528	8.8669	0.52	yes	BK00419BL01-4
ADAM20P1	317760	185	0.7979	2.4249	2.7891	0.38	yes	BK00419BL01-4
ADAM21	8747	9	0.0443	0.118	0.1548	0.2	no	BK00419BL01-4
ADAM21P1	145241	2	0.0128	0.0262	0.0447	0.15	no	BK00419BL01-4
ADAM22	53616	330	0.4436	4.3254	1.5506	0.33	no	BK00419BL01-4
ADAM23	8745	584	1.2102	7.6547	4.2304	0.43	yes	BK00419BL01-4
ADAM28	10863	6262	21.5147	82.0785	75.2045	0.9	yes	BK00419BL01-4
