Gene Symbol	NCBI Gene ID	RNA-Seq Raw Counts	FPKM	CPM	TPM	Percentile Rank	Is Expressed	sample
A1BG	1	88893	616.5081	1142.3896	2109.9978	1	yes	BK00341BL01-8
A1BG-AS1	503538	242	1.4601	3.11	4.9972	0.47	yes	BK00341BL01-8
A1CF	29974	28055	37.8364	360.5429	129.4949	0.95	yes	BK00341BL01-8
A2M	2	110459	305.0807	1419.5405	1044.138	0.99	yes	BK00341BL01-8
A2M-AS1	144571	78	0.4583	1.0024	1.5687	0.36	no	BK00341BL01-8
A2ML1	144568	44	0.1038	0.5655	0.3551	0.26	no	BK00341BL01-8
A3GALT2	127550	26	0.3266	0.3341	1.1179	0.33	no	BK00341BL01-8
A4GALT	53947	367	1.5504	4.7164	5.3064	0.48	yes	BK00341BL01-8
A4GNT	51146	3	0.0218	0.0386	0.0745	0.19	no	BK00341BL01-8
AAAS	8086	1597	11.1723	20.5235	38.2372	0.82	yes	BK00341BL01-8
AACS	65985	510	1.9688	6.5542	6.7382	0.51	yes	BK00341BL01-8
AADAC	13	12901	97.641	165.7945	334.1762	0.98	yes	BK00341BL01-8
AADACL2	344752	0	0	0	0	0	no	BK00341BL01-8
AADACL3	126767	0	0	0	0	0	no	BK00341BL01-8
AADACL4	343066	0	0	0	0	0	no	BK00341BL01-8
AADAT	51166	4977	22.8024	63.9609	78.0413	0.91	yes	BK00341BL01-8
PRXL2C	195827	445	3.4597	5.7188	11.8407	0.6	yes	BK00341BL01-8
AAGAB	79719	1043	3.8199	13.4039	13.0735	0.62	yes	BK00341BL01-8
AAK1	22848	4022	2.3699	51.6879	8.111	0.54	yes	BK00341BL01-8
AAMDC	28971	362	7.6642	4.6522	26.2307	0.75	yes	BK00341BL01-8
AAMP	14	3212	22.9835	41.2783	78.6609	0.91	yes	BK00341BL01-8
AANAT	15	1	0.0061	0.0129	0.021	0.15	no	BK00341BL01-8
AAR2	25980	696	3.0025	8.9445	10.2761	0.58	yes	BK00341BL01-8
AARD	441376	1	0.0072	0.0129	0.0246	0.16	no	BK00341BL01-8
AARS	16	6500	24.1217	83.5334	82.5564	0.92	yes	BK00341BL01-8
AARS2	57505	1997	5.3322	25.664	18.2495	0.68	yes	BK00341BL01-8
AARSD1	80755	0	0	0	0	0	no	BK00341BL01-8
AASDH	132949	1909	5.7657	24.5331	19.7331	0.7	yes	BK00341BL01-8
AASDHPPT	60496	1067	4.7928	13.7123	16.4035	0.66	yes	BK00341BL01-8
AASS	10157	21043	43.0826	270.4297	147.4502	0.96	yes	BK00341BL01-8
AATF	26574	1482	8.8957	19.0456	30.4454	0.78	yes	BK00341BL01-8
AATK	9625	308	0.4019	3.9582	1.3755	0.35	no	BK00341BL01-8
PVALEF	388428	2	0.0163	0.0257	0.0558	0.18	no	BK00341BL01-8
ABAT	18	14765	31.5933	189.7493	108.128	0.94	yes	BK00341BL01-8
ABCA1	19	25816	29.6805	331.7689	101.5815	0.94	yes	BK00341BL01-8
ABCA10	10349	6566	12.8376	84.3816	43.9367	0.84	yes	BK00341BL01-8
ABCA11P	79963	507	1.7192	6.5156	5.8838	0.49	yes	BK00341BL01-8
ABCA12	26154	7	0.0096	0.09	0.0329	0.16	no	BK00341BL01-8
ABCA13	154664	149	0.1083	1.9148	0.3707	0.26	no	BK00341BL01-8
ABCA2	20	17290	26.5788	222.1988	90.9659	0.93	yes	BK00341BL01-8
ABCA3	21	1030	1.9917	13.2368	6.8166	0.51	yes	BK00341BL01-8
ABCA4	24	296	0.5192	3.804	1.7771	0.37	no	BK00341BL01-8
ABCA5	23461	13587	18.3742	174.6105	62.8858	0.89	yes	BK00341BL01-8
ABCA6	23460	32803	79.5999	421.5608	272.4303	0.98	yes	BK00341BL01-8
ABCA7	10347	2565	4.8341	32.9636	16.5446	0.66	yes	BK00341BL01-8
ABCA8	10351	26738	53.0192	343.6178	181.4583	0.97	yes	BK00341BL01-8
ABCA9	10350	14691	26.7004	188.7983	91.3819	0.93	yes	BK00341BL01-8
ABCB1	5243	8542	23.2773	109.7757	79.6665	0.92	yes	BK00341BL01-8
ABCB10	23456	1763	5.8742	22.6568	20.1045	0.7	yes	BK00341BL01-8
ABCB11	8647	41400	75.2643	532.0433	257.5919	0.98	yes	BK00341BL01-8
ABCB4	5244	57966	186.7948	744.9378	639.3049	0.99	yes	BK00341BL01-8
ABCB5	340273	11	0.0182	0.1414	0.0623	0.18	no	BK00341BL01-8
ABCB6	10058	1869	7.6299	24.0191	26.1135	0.75	yes	BK00341BL01-8
ABCB7	22	3365	17.1062	43.2446	58.5461	0.88	yes	BK00341BL01-8
ABCB8	11194	2468	6.2276	31.717	21.3138	0.71	yes	BK00341BL01-8
ABCB9	23457	216	0.7101	2.7759	2.4304	0.4	yes	BK00341BL01-8
ABCC1	4363	2936	5.7221	37.7314	19.5838	0.7	yes	BK00341BL01-8
ABCC10	89845	2835	6.0521	36.4334	20.7132	0.71	yes	BK00341BL01-8
ABCC11	85320	919	2.3018	11.8103	7.8778	0.54	yes	BK00341BL01-8
