Gene Symbol	NCBI Gene ID	RNA-Seq Raw Counts	FPKM	CPM	TPM	Percentile Rank	Is Expressed	sample
A1BG	1	20510	151.9025	281.4753	602.1533	0.99	yes	BK00286BL01-8
A1BG-AS1	503538	70	0.451	0.9607	1.7879	0.33	no	BK00286BL01-8
A1CF	29974	9449	13.6086	129.6762	53.9455	0.84	yes	BK00286BL01-8
A2M	2	53085	156.5717	728.5283	620.6626	0.99	yes	BK00286BL01-8
A2M-AS1	144571	21	0.1318	0.2882	0.5224	0.25	no	BK00286BL01-8
A2ML1	144568	6	0.0151	0.0823	0.0599	0.16	no	BK00286BL01-8
A3GALT2	127550	57	0.7647	0.7823	3.0312	0.38	yes	BK00286BL01-8
A4GALT	53947	1467	6.6183	20.1328	26.2354	0.7	yes	BK00286BL01-8
A4GNT	51146	3	0.0232	0.0412	0.0922	0.17	no	BK00286BL01-8
AAAS	8086	1089	8.1357	14.9452	32.2504	0.74	yes	BK00286BL01-8
AACS	65985	4176	17.2156	57.3106	68.2438	0.88	yes	BK00286BL01-8
AADAC	13	3881	31.3675	53.2621	124.3434	0.94	yes	BK00286BL01-8
AADACL2	344752	0	0	0	0	0	no	BK00286BL01-8
AADACL3	126767	0	0	0	0	0	no	BK00286BL01-8
AADACL4	343066	0	0	0	0	0	no	BK00286BL01-8
AADAT	51166	1609	7.8722	22.0816	31.2061	0.73	yes	BK00286BL01-8
PRXL2C	195827	475	3.9436	6.5188	15.6328	0.6	yes	BK00286BL01-8
AAGAB	79719	1349	5.276	18.5134	20.9144	0.65	yes	BK00286BL01-8
AAK1	22848	4496	2.8291	61.7022	11.2147	0.54	yes	BK00286BL01-8
AAMDC	28971	414	9.3602	5.6817	37.1047	0.77	yes	BK00286BL01-8
AAMP	14	2418	18.4767	33.1842	73.2431	0.88	yes	BK00286BL01-8
AANAT	15	6	0.0393	0.0823	0.156	0.19	no	BK00286BL01-8
AAR2	25980	462	2.1284	6.3404	8.437	0.49	yes	BK00286BL01-8
AARD	441376	0	0	0	0	0	no	BK00286BL01-8
AARS	16	4741	18.7885	65.0646	74.4791	0.89	yes	BK00286BL01-8
AARS2	57505	1772	5.0527	24.3186	20.0292	0.64	yes	BK00286BL01-8
AARSD1	80755	1	0.0101	0.0137	0.0399	0.14	no	BK00286BL01-8
AASDH	132949	1412	4.5542	19.378	18.0531	0.62	yes	BK00286BL01-8
AASDHPPT	60496	827	3.967	11.3496	15.7255	0.6	yes	BK00286BL01-8
AASS	10157	6153	13.4527	84.4426	53.3275	0.84	yes	BK00286BL01-8
AATF	26574	1955	12.5315	26.83	49.676	0.82	yes	BK00286BL01-8
AATK	9625	148	0.2062	2.0311	0.8175	0.28	no	BK00286BL01-8
PVALEF	388428	0	0	0	0	0	no	BK00286BL01-8
ABAT	18	5101	11.6559	70.0051	46.2048	0.81	yes	BK00286BL01-8
ABCA1	19	8690	10.6692	119.2599	42.2934	0.8	yes	BK00286BL01-8
ABCA10	10349	3960	8.2681	54.3463	32.7754	0.74	yes	BK00286BL01-8
ABCA11P	79963	463	1.6765	6.3541	6.646	0.46	yes	BK00286BL01-8
ABCA12	26154	5600	8.2021	76.8533	32.5136	0.74	yes	BK00286BL01-8
ABCA13	154664	208	0.1615	2.8546	0.6401	0.26	no	BK00286BL01-8
ABCA2	20	14649	24.0479	201.04	95.3276	0.92	yes	BK00286BL01-8
ABCA3	21	5105	10.5417	70.06	41.7881	0.79	yes	BK00286BL01-8
ABCA4	24	121	0.2267	1.6606	0.8985	0.28	no	BK00286BL01-8
ABCA5	23461	9421	13.6054	129.292	53.9328	0.84	yes	BK00286BL01-8
ABCA6	23460	11703	30.3266	160.6097	120.217	0.94	yes	BK00286BL01-8
ABCA7	10347	12819	25.7993	175.9255	102.2705	0.92	yes	BK00286BL01-8
ABCA8	10351	7864	16.6524	107.924	66.0113	0.87	yes	BK00286BL01-8
ABCA9	10350	4114	7.9847	56.4597	31.6519	0.74	yes	BK00286BL01-8
ABCB1	5243	3449	10.0368	47.3334	39.7865	0.78	yes	BK00286BL01-8
ABCB10	23456	1500	5.3372	20.5857	21.1572	0.65	yes	BK00286BL01-8
ABCB11	8647	17306	33.598	237.5042	133.1851	0.95	yes	BK00286BL01-8
ABCB4	5244	7836	26.9658	107.5397	106.8947	0.93	yes	BK00286BL01-8
ABCB5	340273	21	0.0371	0.2882	0.1471	0.19	no	BK00286BL01-8
ABCB6	10058	2039	8.8891	27.9828	35.237	0.76	yes	BK00286BL01-8
ABCB7	22	2856	15.5044	39.1952	61.4608	0.86	yes	BK00286BL01-8
ABCB8	11194	2141	5.7692	29.3827	22.8697	0.67	yes	BK00286BL01-8
ABCB9	23457	363	1.2744	4.9817	5.0519	0.43	yes	BK00286BL01-8
ABCC1	4363	1826	3.8004	25.0597	15.065	0.59	yes	BK00286BL01-8
ABCC10	89845	2498	5.6947	34.2821	22.5742	0.67	yes	BK00286BL01-8
ABCC11	85320	138	0.3691	1.8939	1.4632	0.32	no	BK00286BL01-8
ABCC12	94160	3	0.0079	0.0412	0.0314	0.14	no	BK00286BL01-8
ABCC13	150000	1	0.0046	0.0137	0.0184	0.13	no	BK00286BL01-8
